gene_name,gene_id,CCT1,CCT2,CEA1,CEA2,CMA1,CMA2,CLA1,CLA2,CC1,CC2,CC3,CRT1,CRT2,CRT3
Ranbp3,ENSMUSG00000002372.8,114.8466222,122.9134722,121.8794938,131.5419622,107.8216211,103.1403906,24.98074726,21.9287728,37.61183775,30.64639634,40.46233322,5.350870232,9.119078192,4.277667873
Gm16286,ENSMUSG00000024571.14,2.277541676,2.340008748,2.367682411,3.094797315,1.67867477,0.859714296,0.780861613,0.826307668,1.453592118,1.551037366,1.764907441,0.368056171,0.387234062,0.359887035
Olfr1428,ENSMUSG00000067524.1,5.103038814,5.880567537,5.951603541,6.827010517,2.536258197,3.574585652,1.306135336,2.053835117,2.760290727,2.70671932,4.037952657,1.203227875,1.457592851,2.028596838
Rgs6,ENSMUSG00000021219.16,7.552301186,7.641284677,7.575906313,8.912300377,6.002789931,4.310862208,3.958520817,3.817523339,5.688062636,5.392972057,5.746784328,0.889229487,1.31953998,0.967218074
Hsdl1,ENSMUSG00000034189.4,32.56794671,31.99403036,32.49498299,34.25679523,18.63853734,20.08478323,20.92059342,18.21445617,21.91358457,20.48119992,23.16243395,5.835007325,6.726993174,8.848228075
Alpk2,ENSMUSG00000032845.15,8.444668276,8.762571854,8.68320598,8.876331479,5.161717078,4.678708855,4.169288113,4.902470661,5.554749792,5.721504627,5.489471326,1.428088484,1.71743542,1.583161321
Map3k6,ENSMUSG00000028862.6,11.90463673,12.28173818,12.75699535,13.59447083,9.087311235,7.24230605,6.742293144,6.996829729,8.001900654,8.274277013,7.813269328,1.646658662,1.91518447,1.613584938
Atp6v0a1,ENSMUSG00000019302.16,41.49498135,43.05431457,38.14235461,49.72623349,29.25713161,19.08421851,13.19579543,12.47980937,24.27055181,25.44342005,23.62077083,4.097796134,5.107105285,4.920255068
Mustn1,ENSMUSG00000042485.6,100.1200607,104.3204931,105.3629924,112.2064417,60.23224218,69.84546233,60.46319991,53.21491032,56.49228164,71.93097529,65.12111952,20.80996394,26.30701495,25.09077206
2210407C18Rik,ENSMUSG00000037145.14,14.98404717,13.67758119,11.06784226,13.17610083,6.322714283,6.773902241,7.060019767,4.734141721,5.773572568,6.582615639,6.842838839,1.171372875,3.429947947,1.007343013
Ubxn4,ENSMUSG00000026353.9,2.280255924,2.245892489,2.529444826,2.466567503,1.516800167,1.165061506,0.905919336,0.919185506,1.250875455,0.820536644,1.302738798,0.651592595,0.770929275,0.747638905
Timmdc1,ENSMUSG00000002846.9,1.826589147,1.953303268,1.602102247,2.362412778,1.113994925,1.020712081,0.299654373,0.388269712,0.690987494,0.533449177,0.872280853,0.289497636,0.09573879,0.355892752
