gene_name,gene_id,DCT1,DCT2,DEA1,DEA2,DMA1,DMA2,DMA3,DLA1,DLA2,DLA3,DC2,DC1,DRT2,DRT1
Met,ENSMUSG00000009376.15,140.081194,139.6940836,117.2563805,118.6378609,25.01401723,26.82212903,32.58959066,44.81615873,38.48278586,38.98643818,130.6770175,127.1123112,18.11679036,19.52069616
Supt16,ENSMUSG00000035726.7,89.85792647,85.64661671,80.20773144,84.82588106,30.4032946,28.36088096,25.84244582,4.69018062,4.128436831,4.602486627,12.35550986,12.66914883,100.2093719,106.1119186
Carf,ENSMUSG00000026017.13,1.828922543,2.226024521,1.726777954,2.627194002,2.78E-17,2.78E-17,2.78E-17,0.722547657,0.002503397,0.001349859,2.78E-17,2.78E-17,2.510204073,2.009126508
Setd7,ENSMUSG00000037111.9,13.3709419,13.41485515,18.70137012,14.68689746,3.395437879,2.760397974,2.642330372,0.360871008,0.60709734,0.645148024,0.436895089,0.85657413,12.55557461,13.48919212
Cops5,ENSMUSG00000025917.9,5.115669615,5.543053285,4.185703039,4.398060501,2.04308308,1.128489351,1.525541832,0.390476023,0.584770706,0.32992698,1.054815183,0.46944161,5.420096307,5.101020928
Tgfb2,ENSMUSG00000039239.14,2.106751874,2.343062424,2.005558897,1.932795398,0.59557327,0.567842127,0.513428968,0.17552066,0.221977725,0.246876351,1.083894904,1.140771013,2.267696815,2.304339913
Sf3a3,ENSMUSG00000028902.4,458.2820761,475.3482432,489.6765842,482.4723375,117.1929539,112.5377447,101.5803691,39.47506908,34.80172259,34.04955338,329.7340161,356.3041757,434.8475031,481.8083462
Tdrd12,ENSMUSG00000030491.16,4.0849886,4.803740147,4.377983029,4.137119068,1.280376795,0.930603268,1.258317152,0.165048546,0.138744943,0.216067689,3.64238433,2.337100032,5.371915585,4.499634661
Olfr982,ENSMUSG00000049010.5,1.77204267,1.754185556,1.930405663,1.874605905,0.947987433,0.784637684,0.799729791,0.482148921,0.483213544,0.492699047,0.606524383,0.520146941,2.016527551,1.849174798
P2ry13,ENSMUSG00000036362.2,49.15607166,54.59059607,38.36159725,50.13831972,11.25170847,11.49454441,16.16532583,2.87425423,2.555274123,3.45321622,19.05082842,19.55069176,38.80454881,40.36280414
Aldh1a7,ENSMUSG00000024747.3,40.52280157,36.67578903,40.00192982,41.10361858,12.13905675,13.30439382,10.82906817,5.742455019,5.395771621,5.351784186,12.31717611,11.25705106,33.36632262,32.53112058
Lrrc4c,ENSMUSG00000050587.14,2.424405677,2.318879491,2.284859848,2.061558801,0.483511864,0.507240484,0.797313331,0.216983088,0.377868875,0.369556552,1.034287352,0.973010006,1.974641205,1.912624575
Rnf7,ENSMUSG00000051234.6,4.93527633,4.574913345,4.253005555,3.836325812,1.608716172,1.175643033,0.975728814,0.502413052,0.442161894,0.512969963,1.5811059,1.830574175,4.1847176,3.629188104
Epha8,ENSMUSG00000028661.8,453.9187751,447.6728258,332.8999478,309.7537643,91.55944737,89.87096042,91.97463584,37.6178225,38.14678273,32.6275289,157.2315788,148.9421785,322.4989636,304.8368959
Tnfsf14,ENSMUSG00000005824.6,1.512370544,1.49551346,1.513447056,1.340684176,0.737371684,0.251228035,0.472242999,0.440194519,0.275126629,0.257922119,0.35779967,0.293913743,1.761563262,1.254221729
Plce1,ENSMUSG00000024998.17,0.535741688,0.758154069,0.645792736,0.658633509,0.106558841,0.114901011,0.154612204,0.144055263,0.054309079,0.052286709,0.228494318,0.166117888,0.566102612,0.468893653
Ube2r2,ENSMUSG00000036241.3,4.654797409,4.753580166,4.390960472,3.839737579,1.992163142,1.250546745,1.464841263,1.032425319,0.858885893,0.729379633,0.327977595,0.24468857,3.878359142,3.15136467
Papd7,ENSMUSG00000034575.11,1.618483101,1.366882944,1.643652199,1.326954759,0.170873692,0.280075334,0.460451224,0.21586761,0.159449551,0.144853218,1.024465151,0.854519597,1.386857975,1.064535933
Hrh2,ENSMUSG00000034987.3,2.624732961,2.03942944,2.25141237,2.036666819,1.028608761,0.682298194,0.647218094,0.145005244,0.252926285,0.257059624,1.133650056,1.180111488,1.975648519,2.383899029
Nup37,ENSMUSG00000035351.15,9.643352285,10.50344878,9.67044207,8.370378728,2.527721744,4.353221963,1.98412599,0.932677262,1.464862274,0.68002249,0.755901176,0.539419708,5.90048277,7.83313486
Kcnmb1,ENSMUSG00000020155.2,8.039877332,7.634700927,8.756608419,6.565231782,1.215299173,1.798429152,1.585953012,0.431235818,0.697720823,0.248791529,1.710147048,2.215452628,4.420900673,6.130415417
Kcna4,ENSMUSG00000042604.5,4.957553629,4.58644787,4.102743171,3.719899148,1.664312966,1.381777052,1.443887253,0.521826815,0.348210596,0.309276139,1.412251181,1.426103432,3.023425631,3.776674921
Npnt,ENSMUSG00000040998.18,1.080508274,1.374439501,1.355233378,1.20715763,0.30427927,0.105895634,0.40952432,0.225886431,0.001589036,0.23624175,0.407456623,0.422052798,0.907180839,1.044381518
Tmem52b,ENSMUSG00000030160.7,5.367611389,5.516958186,5.56073331,7.217708581,2.007740483,2.096905332,1.45742272,0.473010546,0.546722928,0.787519881,1.830243666,1.720994547,4.622779819,5.009854763
