gene_name,VCT1,VCT2,VCT3,VEA1,VEA2,VEA3,VMA1,VMA2,VLA1,VLA2,VLA3,VC1,VC2,VRT2,VRT1
Tnfrsf11b,8.461574372,9.486405765,8.276768932,13.75370181,12.51253126,12.44510659,4.55480946,5.133377584,1.016668305,0.868512678,1.130375792,0.002057994,0.362182259,1.307702002,0.816978812
Tnfrsf19,0.969336899,0.804196971,0.761596851,1.125280387,1.180936499,0.754410257,0.137174861,0.293071536,0.10908996,0.141836477,0.161481418,0.38951207,0.176690723,0.139064925,0.111210679
Atp6v1e2,4.798903074,2.947089497,4.018392434,3.532582713,3.6879066,3.563175659,0.639842651,0.923913884,0.854842995,0.601792417,0.618137832,0.233607302,0.185694473,1.377864102,0.605836594
Krt34,8.081625643,5.992667694,7.312001108,6.29231665,6.798530759,6.522947691,1.984738247,1.218956428,0.774677197,0.831933228,0.754416496,0.455272092,0.546438453,1.454918976,1.128944546
Rbm15,217.657879,144.7383537,194.4906461,136.1534406,127.8255002,130.4393038,51.37419639,49.91792636,32.78585756,29.4852941,27.08915048,10.57726739,11.91821806,56.92348098,45.81016517
Sp8,7.273015267,5.033625999,7.5683083,5.03428632,5.542183915,6.790509243,2.008226431,3.09756584,0.0789484,0.290040746,0.329355113,0.086653885,0.131122573,0.333775933,0.091251586
Pmis2,42.35968783,25.02689968,40.78968553,26.76294684,28.47913465,23.89309136,9.80170497,17.90159098,1.279449984,1.195065565,1.228535591,0.232896867,0.100524854,1.496413937,2.265166134
Sorbs1,236.6504834,224.7634523,215.2854516,54.06217135,59.63259928,59.00660753,213.6562704,193.6613524,42.50575633,37.74994036,38.78650788,68.92211031,69.56369705,214.2996001,194.5157199
Nradd,16.13117161,15.50505094,13.2665924,5.588102714,5.434838069,6.203012681,13.72669251,17.14769424,3.213671698,2.562607853,3.0298492,4.379202162,4.008702074,9.254427317,7.274165409
Cdc25a,17.57374431,22.78714921,16.70188845,0.70191998,0.751164679,1.099999618,15.97463862,18.45959047,10.09344284,11.47574314,11.28441352,14.53497742,14.54091578,0.730170821,1.79137495
Adcyap1r1,47.48245754,46.93510733,39.71853655,2.868074017,4.617758178,4.107596154,43.31503097,44.5298031,23.59115798,22.78517626,20.95194442,29.98034912,30.36994587,9.124386418,6.238204041
Rbfox1,37.60890401,31.32828158,33.17322761,16.30177524,16.82271199,15.92589287,32.21888862,34.42592661,10.92401393,9.823279181,10.04171305,7.198758858,9.039402777,27.6006637,19.50613942
Trp53rka,4.013678934,3.797671627,3.94442996,0.740464392,1.073683753,1.06866398,3.908783095,4.690273667,1.29700842,1.626949687,1.719842359,2.792911589,2.990464006,1.320524418,1.148858432
