count1.Gene_Name,LC1,LC2,LC3,ERST2,ERST3,DCT1,DCT2
Krtdap,0,0,0,7875.11,6860.76,1197.01,1216.39
Krt2,0,0.06,0.08,6849.31,6435.51,0.3,0.51
Ly6d,0,0,0,6356.34,5649.22,1006.87,1000.92
Calm4,0,0,0,6145.74,5744.55,486.33,496.87
Col1a1,126.31,143.16,122.54,3156.22,3511.42,336.61,332.75
Lor,0.26,0.28,0.06,2738.52,2153.17,199.78,188.91
Col3a1,140.69,148.87,146.55,2645.21,2654.46,296.59,297.35
Col1a2,260.01,283.56,252.67,2498.66,2421.07,212.85,215.61
Krt10,3.08,2.07,3.05,2295.54,2374.69,148.77,141.11
Slurp1,35.23,42.68,32.69,1363.07,1146,43.24,39.27
Lce1l,0,0,0,1167.51,1175.02,66.46,63.63
Lce1c,0,0,0,1086.33,1105.61,103.9,103.31
Rarres1,29.58,32.56,29.27,962.87,880.59,17.29,17.39
Lce1a2,0,0,0,780.9,838.97,137.4,140.72
Elovl4,1.88,1.13,1.59,748.33,782.63,106.54,108.94
Psapl1,0,0,0,692,643.07,93.2,95.54
Lce1f,0,0,0,673.98,685.81,36.31,31.33
Elovl3,0.63,0.11,0.36,651.1,669.04,116.74,121.65
Lce1a1,0,0,0,637.55,586.1,58.54,57.76
Sdr16c6,0,0,0,628.36,544.55,26.55,28.9
Rps3a3,0.53,0.17,0.64,605.07,606.07,0.29,0
Lce1i,0,0,0,576.61,631.29,20.18,21.91
Pf4,92.54,83.67,101.26,542.93,488.88,93.44,96.48
2310050C09Rik,0,0,0,518.27,493.57,51.37,48.46
Lce1e,0,0,0,497.4,572.55,20.17,16.32
Lce1j,0,0,0,496.04,480.78,10.96,10.89
Lce1g,0,0,0,495.28,541.41,8.51,8.23
Lce1d,0,0,0,447.34,443.44,16.44,18.22
Calm5,0,0,0,437.27,365.78,25.25,24.93
H2-Eb1,48.2,55.61,45,436.14,429.56,84.47,85.88
Msmo1,11.03,8.49,9.6,435.15,414.01,64.37,65.5
Lce1b,0,0,0,413.18,420.89,36.92,42.35
Flg,0,0,0,411.56,432.2,65.87,69.22
Gm6166,19.09,17.37,15.7,391.76,307.3,0,0
2300005B03Rik,2.54,6.79,2.67,384.15,401.8,1.63,0.45
Hal,4.18,6.39,4.39,381.23,364.68,31.31,30.37
Gm10020,0,0,0.83,378.28,404.85,0,0
Lce1h,0,0,0,376.61,425.83,7.29,8.68
Fa2h,0.13,0.21,0.05,359.7,312.74,12.12,11.21
Them5,0.23,0.14,0.18,357.65,385.18,29.74,27.56
Krt24,0,0,0,352.32,375.33,1.26,1.53
Rps3a2,0,2.41,1.63,346.44,334.77,0.1,0.24
Cers4,8.31,11.88,9.8,343.24,329.68,27.48,28.67
Awat1,0,0,0,327.88,310.96,5.47,5.65
Postn,8.36,9.27,9.86,304.13,327.19,37.45,33.48
Adh6a,0,0,0,288.19,309.62,4.74,3.76
Fam213b,22.35,29.27,23.75,272.64,266.21,53.46,51.75
Nrtn,4.55,6.29,3.2,248.1,168.23,35.12,31.41
Gm12551,0.16,0.29,0,247.67,251.13,2.2,2.91
Ctnnbip1,23.5,23.48,23.25,240.44,248.42,43.11,39.54
Gm6311,0,0,0,230.28,218.7,0,0
Bglap3,1.35,1.86,1.05,217.29,222.65,12.77,11.13
Dkkl1,0,0,0,214.12,209.33,31.62,33.43
Cma1,2.89,3.38,3.12,212.17,193.44,22.24,25.58
Fcgbp,0.03,0.03,0,207.04,214.61,41.69,42.44
Kazald1,13.46,13.04,11.85,199.72,195.24,5.42,5.83
Hacl1,7.82,6.86,9.87,190.73,189.97,4.76,4.24
Guca2a,0.2,0.39,0.24,180.91,153.63,3.98,3.76
Acsbg1,3.07,3.66,3.83,170.23,146.04,21.08,21.71
Far2,0.95,0.92,1.47,169.42,175.18,5.76,5.43
Tgfbi,22.46,28.42,20.74,167.02,150.88,26.32,29.74
Serpinb7,0,0,0,164.83,161.27,11.56,13.48
BC002163,5.75,0,5.75,161.48,177.27,0,0
Il1r2,1.74,3.08,1.86,159.34,146.97,28.39,27.29
Rnase2b,0,0,0,146.37,150.95,9.09,11.49
Ctss,22.16,18.13,19.85,144.54,147.47,28.45,28.44
Col17a1,0.27,0.05,0.56,140.23,117.28,22.58,21.79
Clca3a2,0.11,0,0.06,138.49,139.18,14.49,14.3
Adh1,19.06,25.31,23.37,131.13,143.62,15.16,17.73
Oas1f,0.14,0,0.07,128.4,116.38,9.53,9.67
Lce1k,0,0,0,125.72,123.22,8,8.1
Sdr16c5,0.07,0.12,0.08,122.78,129.01,13.66,16.07
Tlcd2,13.21,10.8,9.38,112.57,115.18,7.84,8.73
Hacd2,8.76,7.48,7.73,112.35,109.34,14.9,14.95
Fam213a,21.84,17.38,18.59,112.11,124.5,19.88,19.63
Chit1,0.61,1.47,0.57,111.31,101.25,11.34,11.64
Teddm3,0,0,0,108.39,106.57,20.24,20.11
Cthrc1,4.21,3.66,3.62,108.22,112.84,2.76,2.36
Ptgs1,3.34,3,2.13,104.2,92.74,9.15,8.76
Serpinb6d,0,0,0,103.41,97.37,0.46,0.38
Serpinb12,0.06,0.31,0,95.66,101.33,0.54,0.57
Gm5538,0,0,0,90.02,84.5,0.19,0.31
Tmprss4,0,0,0,89.34,78.85,5.43,5.25
Hsd17b7,4.87,4.61,4.23,88.58,102.12,9.24,10.3
Ces4a,0.04,0,0.04,88.33,82.08,0.78,0.99
AL589742.2,0,0,0,88.17,99.92,0.61,0
Il20rb,4.15,4.07,3.76,84.88,80.79,12.41,10.81
Klk11,2.94,4.09,3.29,82,77.89,7.18,7.12
Fam89a,0.73,1.18,1.27,79.96,74.05,12.53,12.54
Lhpp,1.33,2.44,2.11,79.51,75.04,12.49,11.44
Npl,1.37,1.25,1.04,79.5,83.54,14.35,15.45
Nudt17,7.29,9.42,6.08,79,83.69,14.81,14.31
Mmp3,4.05,4.82,3.61,77.97,77.57,7.37,8.09
Chd3os,1.39,1.23,1.41,76.87,74.19,15.88,13.34
AA465934,9.39,7.83,6.52,76.32,76.93,10.55,10.51
Sec14l4,4.21,4.34,4.38,75.63,65.41,3.69,3.49
Gm13178,0.16,0,0.46,75.23,74.26,12.65,12.97
Degs2,3.54,3.97,3.56,74.93,69.61,3.83,2.86
Lce6a,0,0,0,74.76,68.76,7.42,14
Cpa3,1.46,1.05,1.13,74.62,81.98,11.31,12.78
Acoxl,0,0.21,0,74.55,70.49,1.54,0.53
Gdpd2,0,0,0,74.12,72.87,2.48,2.25
Gm20627,0.5,0.43,0.25,73.74,61.88,4.3,4.91
