Gene_Name,D33_1,D33_2,D33_3,AD_1,AD_2,AD_3,rib1,rib2,rib3
Gm38292,2.21,9.18,1,18.11,17.03,23.01,2,0,1
Ets1,92.47,126,42,491,372,374,2206,991,1413
Atp6v0a1,121,215,169,915,665,844,891,3120,2482
Map3k8,13,17,13,72,56,79,317,212,332
Ivns1abp,299,439.81,283.55,2017.55,1393.47,1636.32,7179.74,4509.28,5197.14
Duoxa1,5,13,13,63,35,56,5,2,4
Fbxo30,45.09,69.4,31,278,202,243,872,380,505.05
Tmem170,4,7,3,32,18,20,80,96,73
Tppp3,40.08,78.91,154,531.87,380,457,38.05,61,68.06
Ppp1r18,48,47,58,316,199,256,1072,1220,1041
Oxsm,7.11,10.83,10,55,36,50,119.72,156.98,196.06
Hadh,1143.29,1854.43,1476.1,8219.11,6391.28,8032.92,837,824,1004
Ptrf,3706,4995,3511,23169,16895,21886,2261,1142,1616
Casp3,12,25,17,98,79,97,640,278,348
Myc,46,80,71,385,276,351,961,606,1017
Acbd4,243,386,338,1968,1394,1613,261,173,218
Rps6ka3,45,61,37,264,229,244,991,1013,1468
Mllt3,8,17,17,82,74,61,222,124,203
Reep1,4,9,3,35,21,27,149,76,93
Gm28438,1831.83,2241.97,1322.26,10688.73,7847.99,9521.05,459.08,1242.36,912.24
Rgs7,9,12,19,79,59,70,5,0,4
Gm36970,1,3,1,10,9,7,2,0,0
Notch1,54.89,51.44,25.13,271.33,176.58,242,645.19,751.46,1016.06
Tab3,8,8,7,32,37,53,221,188,222
Ccr5,6.82,12.83,3.48,39.46,41.25,42.73,109.99,163.85,146.29
Gstt2,76,102,139,613,531,557,73,58,54
Wnt5a,20.01,40.37,35.02,191.01,160.02,165,431,593,372.66
4-Sep,87,138,92,659,488,570,110,56,20
Inpp5a,38,59,50,311,199,289,1412.72,998.49,1074.81
Msrb1,15,42,21,172,118,134,507,734,566
Acaa2,406,502,541,3045,2133,2748,191,428,507
Aqp11,10.21,13.92,10.09,63,43.5,81,16,4,4
Stmn1,8,25,14,102,73,85,414.18,303.58,487
Asah2,10,10,5,49,35,55,159,113,143
Adam10,62,70,46,396,294,306,683,1067,1111
Atp6v1b2,150.63,266.62,174,1225.27,927.59,1161.08,2094.01,6216.64,7316.03
Aox1,83.72,101.55,47.66,530.31,385.22,400.54,51.02,33.01,71.05
Klhl24,86,99.06,55,538,379.93,447.05,1747,795.01,1049
Gm7180,0.99,3.47,1.06,15.4,8.03,7.99,1.22,0,0.96
Rassf9,1,6,6,29,19,26,2,1,1
Mogat2,26,34,9,160,103,131,9,1,7
Ppif,16,49,24,180,136,193,283,688,317
Tbc1d31,17,28,9,127,73,110,334,192,340
Pla2g2d,21.27,17.74,6.82,92.31,87,86.21,13.43,6.81,8.26
Ugp2,204,338.98,173,1546,1248.99,1378,3167,3586,2904
Ptafr,46.67,59.64,13.51,256.27,185.81,259.24,365.52,1577.76,1083.11
Uhmk1,46,65,36,328,237,296,906.2,1258,1717.84
Usp25,35,66,43,349,242,257,813,1218,1231
Gm38257,6.2,13.7,1.03,44.62,36.57,42.09,4.2,0,4.15
Hdac9,3,10,3,35,30,30,77,107,102
Plekhm1,52,69.82,76.94,471.53,349.43,371.05,807.97,2195,1558.95
Etv3,30,72,52,354,256,315,610,879,882
Serpinb8,16.61,29.33,22,147,117.97,144,113,410,397
Il7,7,2.12,3,24,28,21,2,2,1
Gm4737,38.13,26.5,9.73,157.92,125.35,166.37,372.97,414.47,451.24
Tbc1d2,10,22,13,93,66,115,83,276,221
RP23-170C11.4,3,12,1,35,24,39,2,0,1
Rtn4,286.62,409.07,285.72,2277.79,1627.68,2150.42,5276.47,4632.64,5559
Ldhd,63.54,120.18,88.41,618.97,454.85,643.49,32.83,21.15,27.12
Vkorc1l1,42.12,50,32,274,205.52,309,507,610,628
Vcl,63.29,100.06,113.61,666.42,470.88,626.4,1745.18,927.78,1377.84
Tst,68,124,140,815,577,736,21,60,31
Gm12216,14,23,18,131,90,133,19,13,3
Dpyd,26,31,11,176,115,147,8,2,4
Chml,7,9,4,46,42,41,125,77,148
Gm37084,3.01,7.01,4.99,34,27,36,5,1,1
Cdkn2c,307,471,332,2738,2028,2419,192,110,241
Rai2,17,29,38,223,163,162,16,7,8
Pvr,29,32,21,203,135,198,430,281,481
Selplg,21.71,11.74,5.41,84.84,61.34,108.33,209.49,567.19,415.92
Sntg2,1,4,2,21,10,15,3,0,0
Tigar,3,6,8,47,24,41,77.95,175,139.99
Cdr2,19,25,26,186,117,160,296,445,436
Ell2,79.01,91.16,44,532.35,418.61,473.95,3109,1430,2361
Cdh13,49.14,53.51,143,631.13,455.22,550.29,50,23,66.99
Gm9951,2,3.23,1,21.31,6.01,14.28,1,0,0
Nampt,137,188,93,1045,753,1000,1883,1960,2849
Slc12a5,1.31,2.02,1,13,5,11,52,49,33
Vac14,39,65,79,480,308,439,297,1184,857
A730049H05Rik,7.31,3.03,2,32.85,27.66,22.88,0,3.8,0
C1galt1,18,27,13,147,120,129,562,550,690
Gadd45a,15.57,59.74,48.1,291.94,250.38,300.74,959.32,307.15,511.31
She,22.41,36.28,8.04,178.04,141.61,137.64,13.4,8.86,10.13
Tnfaip8l2,6,5,3,36,28,32,67,358,155
Uhrf1bp1,46,56,23,310,245,310,719,577,846
Scp2,1624,2380,1446,14191,10654,12913,1326,1299,1271
Hist1h3f,1,3,1.09,16.45,8.44,10.41,0,1.8,0
Herc6,6.91,12.56,8,66.99,53,72.17,420.53,565.76,345.65
Recql4,3.02,3,1,24.68,13.18,12.04,85.85,41.05,69.49
Meox2,30,34,53,296,230,314,47,14,28
Dock11,18,43,15,207,144,196,344,511,790
Unc93b1,62,124,123,881,578,770,1048,3829,1913
Rassf5,4,7,8,47,45,46,187,139,164
Ppa1,178,309,201,1913,1348,1742,2439,6291,2305
Mfsd12,75,123.61,124,909.74,630.78,806.75,1017.63,3875.18,3258.18
5730508B09Rik,8,17,3,84,60,60,124,234,265
Tifa,7,12,4,63,42,63,195,506,387
Ptgir,9,8,4,71,54,29,80,85,129
Map3k5,29,34.33,18,205,177,216,806,824,690
Gsta4,38,48,73,443,349,400,7,6,12
Irak3,11,19,11,110,83,115.61,163,265,415
Frmd4a,10,12,7,87,55.45,76,290,652.42,558.9
Ehd2,1493.11,2608.39,1885,17601,12692.17,14939.19,1548,1160,1543
Erlin1,26,40,34,299,205,254,344,571,688
Rel,12,12,6,79,55,94,186,265,707
Ttc7b,22,42,22,252,197,206,568,583,551
Tuba4a,30.69,20.96,29.15,229,163.02,223.38,340.12,654.02,608.21
Pidd1,3,9,4,56,31,35,69,96,62
Csrnp1,20,15,14,124,99,153,319,180,572
Gm6277,5,2,5,33,24,36,5,2.04,2.03
Pawr,8,4,2,37,36,36,231,117,119
Pilra,4.97,1.47,2.95,27.36,16.53,29.8,81.26,89.83,60.24
Hnmt,31,50,22,326,234,250,11,14,39
Bid,8,10,5.13,63.98,47,71.26,102,396.37,238.34
