Gene_Name,D33_1,D33_2,D33_3,AD_1,AD_2,AD_3,rib1,rib2,rib3
AC099934.1,753.04,1045.45,599.2,107.78,57.07,146.88,2.1,0,0
Col8a1,310002.2,397758.5,275605,107,72,94,427,113,334
Gm12411,888.54,1142.64,881.18,77.73,71.88,123.02,0,3.54,0
Gm23935,170.52,315.56,387.67,18.63,13.67,12.28,1,0,0.33
Gm24270,170.52,315.56,387.67,18.63,13.67,12.28,1,0,0.33
Gm24245,170.52,315.56,387.67,18.63,13.67,12.28,1,0,0.33
Fam107a,270.82,249.88,102.06,11,4,16,0,0,1
Gm25732,106,216,259,13,15,20,1,0,0
Gm525,119,276,670,25,25,21,1,1,0
Gm9800,1995.98,3046.6,2467.27,302.82,235.31,334.31,0,0,14.96
Myoc,24491.97,46355.97,33192,8,3,0,41,55,126
Rpl10-ps6,60.74,84.42,50.93,9.62,4.81,0,0,0,0.42
Plac9b,2107.33,3881.43,23064.97,64.17,37.85,36.03,40.53,9.91,18.97
Cyp26a1,789,1197,3763,1,3,4,7,6,1
Gm10076,3131.09,4059.02,3612.84,877.21,644.4,915.89,6.63,0,20.24
Gm11942,311.75,887.74,1374.92,37.9,31,19.52,5.03,1.49,0
Fam181b,92.2,130,142,37,27,23,0,1,0
Gm23632,297.1,374.77,86.51,42.55,27.73,40.02,2.27,0,0
Rn7s1,44744.14,49546.57,57145.11,8004.85,5839.67,6510.57,436.58,28,16
Rn7s2,44744.14,49546.57,57145.11,8004.85,5839.67,6510.57,436.58,28,16
Gm42899,99.97,170.71,33,13.02,12,12.99,1,0,0
Cytl1,164489,203436,194566,13,3,11,562,844,575
Rps3a3,2273.52,11.63,2193.67,1.55,0,2.65,9.25,4.97,2.87
Faim2,134.44,261.62,383,12,13.04,12.07,1,0,2
Gm37376,45426.94,58938.79,12104.47,12836.68,9541.24,11046.14,256.93,106.96,95.7
Gm9780,1270.48,2537.29,13930.62,36.63,14.78,37.03,31.65,14.97,29.03
Mab21l2,216.12,331.55,385.46,2,1,3,2,2,0
Gm26318,98.51,152.2,7.52,2.07,1.65,11.12,1.19,0,0
Gm5148,171.23,221.09,202.05,9.16,11.79,9.42,0,0,2.75
Igfbp2,2077,2444,6620,5,2,1,32,9,16
Itgbl1,3153,3307,5242,14,5,6,35,7,19
Gm10020,1668.37,1642.51,519,1.75,6.71,7.17,5.99,14.05,0
Gm22002,487.88,656.4,60.49,28.93,14.36,37.5,4.81,0,2.04
Gm26141,51.45,69.78,6.57,1.97,2.66,3.51,0,0.75,0
Gm12715,494.62,469.86,569.78,67.29,26.27,94.11,0,9.05,0
Gm15725,1490.37,1773.22,1691.16,316.43,216.49,355.83,0,0,31.03
Wif1,70001,117036,34112,4,6,5,592,294,500
Apod,4046.65,5294.11,8492.33,15,12,6,83,17,14
