Gene_Name,D33_1,D33_2,D33_3,AD_1,AD_2,AD_3,rib1,rib2,rib3
H2afv,600,826,957,260.99,202,243,686,333,358
Trip6,918,1261,1087,337,244,318,726,566,462
Use1,711,1210,1815,444,299,413,865,841,652
1500011B03Rik,242.02,317.22,246.96,74.98,51.24,68.2,120,146.36,131.96
St3gal5,375.23,509.07,300.15,128,86.38,92.09,185,218,233
Tmem202,34,38,39,10,8,12,9,28,27
Rps19,10200.14,14330.87,14477.74,3289.22,2453.86,2955.5,7552.88,5753.06,5719.03
B9d1,98,180,146,43,27,41,87,82,75
Scrn1,111.48,191.49,239,38,33,48,93,136,34
Btbd6,279,353,459,109,72,120,247,244,178
Gpr27,74,94,99,29,15,30,83,20,65
Meis1,318.04,463.59,259.4,96,84.69,101.38,267.31,121,268.5
Gm10241,125.4,104.12,161.08,24.36,49.58,42.57,89.32,83.11,98.9
Caprin2,546.04,544.2,153.95,91.47,56.14,99.57,264.97,166.31,144.94
Chst10,113.24,143.54,103.09,21.59,25.93,28.69,39.08,71.4,68.24
Vkorc1,1860,2351.58,2593,596,405,549,1237.47,1217,1198.14
Osgin2,622,1153,348,191,144,158,461,193,508
Ltbp1,439.2,640.53,611,151.74,75.36,84.76,318.48,150.25,266.43
Zbtb7c,157,257,465,78,61,63,195,121,162
Prrx1,1388.77,2305.06,1152.43,390.47,296.04,375.82,964,414,1138
BC039771,70.5,62.68,12.49,12.56,6.41,9.04,20.75,14.87,31.21
Cep57,809.65,954.62,263.44,143.65,111.45,113.16,345.35,213.89,322.7
Slc4a8,31,36,50,10,8,7,37,8,15
Hapln3,98,127,156,18,19,30,46,75,40
Hyal3,28.09,44.08,23.81,5.06,4.24,10.3,16.67,13.69,17.78
1810055G02Rik,476,676,738,230,138,198,444,534,424
Atpif1,830,1296,1134,358,282,333,805,883.56,780.19
Fut8,626,923,466,218,147,195,452,468,510
Slco2a1,152.89,210.13,341.51,34.65,34.14,41.31,184.51,35.7,67.28
Ackr3,924,1416,1303,319,228,281,1493,298,425
4833417C18Rik,11.29,14.82,10.05,2.06,3.11,2.35,7,5.21,8.02
Rsph1,21,34,34,5,4,4,13,9,13
Calm2,5362.85,7545.18,5972.34,1598,1173,1390,3990,3598,3688
Gm14419,70.75,41.55,40.27,14.24,7.35,9.54,14.75,24.93,45.26
Nsmf,881,1386,1063,271,181,273,845,648,496
Rsad1,156.13,232.31,167.91,52.13,50,47,152.04,159,98.47
Gm12191,2689.92,3436.16,2039.11,393.78,295.21,391.03,928.94,1277.61,793.75
Rps29,7096.85,11418.7,7795.2,1290.99,934.89,1248.76,3382.16,3481.47,2793.34
Aff3,452,1902,1594,291,193,225,607,377,994
Fzd1,873.4,1276.74,1769.74,256,181,215,606.01,322,894.22
Gm11613,75.11,84.62,29.6,20.64,11.93,17.81,48.49,45.17,47.93
Shfm1,1943,2764,2309,487,354,462,1207,1362,1104
Nfic,3405.93,5244.94,8525.79,1175,912,1094,2994,2765,3578
Rsph9,77,132.46,144,8,17,24,56,41,48
G730003C15Rik,26.27,56.54,11.53,6.74,7.22,6.06,24.04,20.02,16.91
Ass1,96,142,239,47,33,43,180,86,109
Cyb561,263.48,279.14,310.45,55,19,62,273.44,42,100.42
Rpl10-ps3,7188.99,11137.37,11658.76,2667.94,2095.59,2384.96,8568.56,7131.42,6440.17
Rpl21,3891.02,6761.59,6038.95,1122.84,872.97,1042.74,2996.48,3086.53,3363.4
Zfp580,183,201,299,33,24,35,105,84,98
Fam58b,210,295,251,65,48,65,167,197,193
5031434O11Rik,119.8,161.08,97.07,14,16,15,59.08,45.16,37.05
D130017N08Rik,68.17,87.51,26.14,10.85,7.16,19.43,41.47,23.12,53.57
Ccdc92,37,58,49,6,6,7,23,18,19
Rpl36,4498.44,7468.62,10775.3,1164.17,820.88,1028.08,3913.87,2895.46,2805.93
Trib2,339,732,703,146,110,99,505,320,308
Rpl19,11222.29,14777.84,15415.67,2895.17,1965.36,2695.88,8501.32,8064.28,7681.72
Enthd2,639.8,788.13,197.36,100.76,90.53,129.8,262.68,477.9,292.79
Gm17529,24.91,25.19,12.09,4.69,5.1,2.03,18.69,7.88,11.78
Rps25,7243.87,11179.88,7094,1830,1386.19,1806.77,5834.39,5182.66,5354.19
Tle6,38,71,90,12,8,10,25,33,40
Gm14295,121.65,122.21,83.97,14.53,1.26,20.13,17.19,33.59,67.78
Arntl2,86.2,120.7,19.11,15.37,8.37,7.07,57.22,16.59,28.78
Col3a1,19201,25562,35111,7034.85,5400,6197.95,28728,9485,23930
Rpl26,5989.75,7882.25,6584.04,1253.5,859.1,1098.36,3442.75,2819.68,4513.61
Tprkb,742.29,1003.02,335.31,143.14,93.15,142.77,439.77,411.99,421.67
Rplp2,6917.34,9034.26,9108.39,1943.33,1414.28,1711.97,6438.06,5480.16,5147.76
Dynll1,2131.87,3465.07,3923.43,637.2,449,602.05,1987.22,2169.82,1656.53
Gm10399,13.94,19,14,1,2,1,7,5.89,1
Upb1,19.61,25.95,13.55,1.69,3.06,3.05,5.22,8.04,14.03
