Gene_Name,D33_1,D33_2,D33_3,AD_1,AD_2,AD_3,rib1,rib2,rib3
AC099934.1,753.04,1045.45,599.2,107.78,57.07,146.88,2.1,0,0
Wdr46-ps,8,8,4,1,1,3,1,0,0
Gm17541,5.92,8.63,4.04,1.37,1.09,0,0,0,0
Gm15723,2.69,8.26,6.05,0,0.66,0,1.2,0,0
Gm42995,8,10,2,0,1,1,0,0,0
RP23-296N5.4,6,13,7,1,5,1,0,0,0
Sphkap,7,8,4,0,0,0,0,0,0
Cstad,2,9,9,0,1,0,1,0,0
Crx,7.14,11.49,3.1,1,1.7,0,0.86,1.19,0.58
Gm5054,6.08,8.49,6.04,0,0,1.01,0,0,0
Gm38118,6,9,6,0,0,1,0,0,1
Mannr,6,10,4,0,0,0,0,0,0
Gm13641,7.52,11.51,1.82,0,0.29,0,0,0,0
Gm20471,10,14,2,2,1,2,1,0,0
Pgr,9,7,11,2,2,2,0,0,2
Gm24950,7.67,10.92,5.99,0.38,0.8,1.5,2.45,0.37,0.2
Gm23971,7.67,10.92,5.99,0.38,0.8,1.5,2.45,0.37,0.2
Gm23849,7.67,10.92,5.99,0.38,0.8,1.5,2.45,0.37,0.2
Rnu2-10,7.67,10.92,5.99,0.38,0.8,1.5,2.45,0.37,0.2
A730062M13Rik,6,13,3,0,0,0,0,1,0
Gad2,10.78,8.79,4.5,1.01,0.83,0,0,1.19,1.21
Gm16045,11,13.3,5,4,2,1,0,2,1
Avp,7.44,6.06,9,0,0,0,0,0,0
Gm43751,10,14,2,1,1,1,1,0,0
C9,6,13,4,0,0,0,0,1,1
Gm42443,12,13,6,4,3,1,0,0,0
Gm9913,6.05,9.35,8.08,0,0,0,5.82,3.75,7.45
Lrrc18,4,16,10,2,2,2,2,1,0
Cntnap2,11.97,8.48,6.16,0,0.85,0.89,1,0.78,0
Gm20430,13.2,10.82,7.07,0,3.77,1.82,0,0.39,0
Cnih3,6.98,9.04,10,0,0,0,1,0,2
Gm17276,14,16.54,5.6,3.26,2.23,4.36,1.13,0,1.17
Gm25195,12.88,12.43,3.78,0,1.42,1.27,0,1.11,0.92
Pebp4,15,8,4,0,0,0,0,0,1
Rnu3b4,6.46,11.24,13.25,1.25,1,1.5,0,1.25,0
Rnu3b2,6.46,11.24,13.25,1.25,1,1.5,0,1.25,0
U3,6.46,11.24,13.25,1.25,1,1.5,0,1.25,0
U3,6.46,11.24,13.25,1.25,1,1.5,0,1.25,0
Sgcg,12,7,16,2,3,2,4,1,4
Otor,4,13,11,0,0,0,1,0,0
Kcnj13,7.63,8.91,13,1,0,0,1,0.68,0.89
4833417C18Rik,11.29,14.82,10.05,2.06,3.11,2.35,7,5.21,8.02
Tnni3,6,9,14,0,0,0,4,7,6
1700125H20Rik,9,8,12,0,0,0,5,2,2
Syt13,5,13,12,0,0,1,3,0,0
Gm23563,8.94,17.01,4.09,0,1,0,2.34,0,2.49
Gm11478,7.14,12.86,10.43,0,0,1.31,4.48,7.28,6.38
Gm14046,13.06,15.81,10.67,2.42,4.69,3.1,0,0,2.15
Gm43852,12,14,5,1,0,0,1,4,5
Gm43720,11.09,12.72,7.57,0,0,1.16,0,0,0
E230001N04Rik,8.46,18.6,10.48,2,3,2.04,2.08,6,1
Gm10748,6.03,17.52,7,0,0,0,0,1,0
2900018N21Rik,8,18,7,1,0,1,3,0,2
Krt15,17,10,10,2,2,2,0,0,0
Gm20442,11.36,13.3,6.67,0,0,0,4.66,0.86,3.58
Gm454,9.45,22.58,9,4.03,1.33,3.96,0,0,0
Tulp1,12.24,19.08,7.22,4.62,0,2.17,0,2,1
Pitpnm2os2,13.78,19.2,4.15,2.05,2.02,1.3,3.44,0,1.77
RP23-56M2.7,9,16,7,0,0,0,6,2,1
Gm43210,16,9,8,0,0,1,1,3,1
Gm42972,15,16.01,8,2,0,5,0,0,1
Gm17228,13.3,18.69,3.6,1.19,0.14,1.99,0,0,0
Cryba1,15.06,17.74,3.2,2.1,0,1.31,1,1.01,1
Gm6807,6.14,19.61,11.28,0,2.38,1.78,0,0,2.15
Ces2e,7,17,11,2.07,0,0,1,0,0
Ptprt,5,11.01,20,1.5,0.57,1,1,0,0
Gm26559,10.84,20.17,4.1,1.11,0,1.04,5.24,5.34,3.96
Gm12936,7.84,19.78,6.63,0,0,1.01,0,1.62,0
