Gene_Name,D33_1,D33_2,D33_3,AD_1,AD_2,AD_3,rib1,rib2,rib3
Olr1,0,0,0,16,8,10,12,11,25
Amica1,0,0,0,7,5,7,18,15,17
Gm15475,1,1,0,0,0,0,15.39,18.49,18.21
Treml4,0,0,0,12,5,13,15,24,18
Hoxb6,0,0,0,16.03,14.01,12,28,14,16
Gm2897,0,0,0,3,3.09,2.74,24.35,21.18,15.06
Klra2,0,1.02,0,22.91,7,14,20,25,17
Xlr3c,0,0,0,2.45,2.06,2.42,20.43,23.67,19.91
BC030870,0,1,0,0,0,0,31,15,21
Gm13988,1.01,2,0,0,0.33,0,31.4,24.58,14.21
Gm715,1,3,1,1,0,0,19,33,23
Gm15513,0,0,0,1,0,1,16,32,27
Ugt1a9,0,0,0,32.18,14.73,25.33,6.68,34.51,35.06
Gm26773,1.02,2.02,0,0,0,0,38.45,24,19.33
A230103J11Rik,2.03,2.08,2.02,0,0,1.05,32.38,34.04,22.56
Gm29650,1,1,0,0,0,0,45,17,23
Foxs1,1,1,1,32,19,19,34,17,36
Gbp2b,0,0,0,34.75,13.06,21.79,45.05,25.22,16.17
Nsg2,0,0,0,1,0,0,26,17,44
Mab21l3,0,1,0,0,0,0,33,17,40
Rnf208,0,0,0,0,0,1,55,19,19
F7,0,0,0,10,14,15,16,43,35
Cyp4f18,0,2,1,16,15,23,20,39,40
Ltb,0,1,0,7,8,7,38,22,38
Adgb,0,0,0,5,4,4,27,42,28
Frem2,1,2,0,0,0,0,47,37,18
Gm9821,0,1.06,0,0,0,0,29.5,39.9,31.22
Ak5,0,0,0,9,10,26,32,23,46
Map3k15,0,0,0,3.19,1.07,4.23,22.71,45.56,33.59
Myrf,0,0,0,20,6,18,40,44,18
Kif1a,0,1,0,6,3,8,29,32,42
Gm16340,0,0,0,7.47,3.48,4,43.92,37.23,21.78
Gm12404,0,1,0,0,0,0,23,43,38
Dmc1,0,1,2,0,0,0,60,19,28
Gm28052,0,1.27,0,0,0.05,0,36.84,41.21,27.85
Tgm1,0,0,0,1,3,2,41,28,37
Mss51,1,5,3,0,1,0,50,44,21
Cd79b,0,0,1,21,22,26,23,65,20
Cdh10,0.81,4,2,0,0,1,24,48,43.07
