Gene_ID,Gene_Name,CCT1,CCT2,VCT1,VCT2,VCT3,DCT1,DCT2,logFC.CCT,logFC.DCT,relative.CCT,relative.DCT,PValue
ENSMUSG00000000823.16,Znf512b,6.39,6.24,20.47,16.88,16.06,4,4.36,-1.3591120354,-1.641633328,0.3898221477,0.3204934266,9.98573551623015E-05
ENSMUSG00000000938.11,Hoxa10,0.14,0.04,6.13,7.25,10.64,0.34,0.38,-5.1097422083,-3.7121085358,0.0289610515,0.0763034164,0.0001514888
ENSMUSG00000001119.7,Col6a1,24.17,23.92,66.13,54.13,50.37,17.33,16.5,-1.1191232425,-1.3190021095,0.4603735194,0.4008120786,5.42406957679071E-05
ENSMUSG00000001506.10,Col1a1,473.25,572.09,1956.84,1994.05,2192.14,336.61,332.75,-1.8507589567,-2.191754253,0.277246479,0.2188851139,4.68008670179716E-06
ENSMUSG00000001555.10,Fkbp10,10.07,8.62,26.74,27.16,22.4,5.49,6.29,-1.3141869766,-1.6681603344,0.4021520622,0.3146543222,6.33112324435821E-06
ENSMUSG00000002111.8,Spi1,4.15,3.71,11.59,11.14,8.5,3.82,2.56,-1.2598584808,-1.2545347757,0.4175849201,0.4191287015,0.0148953521
ENSMUSG00000002732.14,Fkbp7,22.09,19.26,46.17,43.06,48.23,16.68,15.24,-1.0254638362,-1.0919237045,0.4912523329,0.4691354074,5.67505076868595E-05
ENSMUSG00000004473.10,Clec11a,4.15,3.98,19.66,16.38,16.15,2.27,2.74,-1.9458909832,-2.32426783,0.25955443,0.1996759067,4.70269619300428E-06
ENSMUSG00000007805.4,Twist2,5.87,5.12,16.66,16.59,14.85,3.48,3.08,-1.4057083742,-1.8321224171,0.3774327785,0.2808511437,9.35551718549473E-05
ENSMUSG00000008153.11,Clstn3,7.62,7.48,21.27,14.18,17.6,2.14,2.55,-1.0964682179,-2.439050859,0.4676599481,0.1844049312,0.000237565
ENSMUSG00000010651.4,Acaa1b,4.4,3.63,33.84,25.25,23.08,3.14,2.82,-2.6137998052,-2.7334520282,0.1633683249,0.150365758,0.000021858
ENSMUSG00000010830.7,Kdelr3,13.49,14.39,46.4,38.96,38.39,8.55,10.34,-1.4382683706,-1.690960621,0.3690099517,0.3097206283,1.1590705680466E-05
ENSMUSG00000015354.8,Pcolce2,4.92,4.86,17.15,16.72,22.12,5.08,5.19,-1.7875121908,-1.4189685364,0.2896711296,0.3739795956,0.0002642725
ENSMUSG00000015665.8,Awat1,17.69,19.16,108.3,62.26,83.95,5.47,5.65,-2.077179793,-3.4828606292,0.2369772066,0.0894446728,0.0001305437
ENSMUSG00000016995.17,Matn4,3.08,2.45,9.44,7.71,8.64,0.91,1.29,-1.4760781201,-2.4352732464,0.3594646681,0.1848884175,0.0014185336
ENSMUSG00000018593.12,Sparc,1017,1057.29,2513.48,2205.05,2310.77,625.93,619.91,-1.0567225083,-1.4873408014,0.4807229188,0.3566693621,8.74350564266126E-06
ENSMUSG00000018604.18,Tbx3,1.19,0.93,7.87,8.1,6.73,0.87,0.82,-2.579576935,-2.5979352781,0.1672899943,0.1651747106,0.0002054811
ENSMUSG00000018868.3,Pnpla5,5.26,5.36,27.08,15.82,21.14,1.77,1.03,-1.8638809896,-3.4125360617,0.2747362169,0.0939126908,0.0002524123
