Gene_ID,Gene_Name,CRT1,CRT2,CRT3,VRT2,VRT1,DRT2,DRT1,Average(CRT),Average(VRT),Average(DRT),logFC.VRT,logFC.DRT,relative.VRT,relative.DRT,PValue
ENSMUSG00000049685.8,Cyp2g1,96.38,90.13,95.73,14.07,17.2,22.8,23.05,94.08,15.635,22.925,-2.301263934,-1.711556647,0.202885275,0.305330445,2.21071E-07
ENSMUSG00000030996.7,Art1,38.42,29.5,35.71,1.77,1.11,5.4,5.04,34.54333333,1.44,5.22,-4.198270185,-2.38058726,0.054474687,0.192031214,1.03631E-06
ENSMUSG00000007122.11,Casq1,332.37,233.43,329.05,16.68,20.51,72.92,69,298.2833333,18.595,70.96,-3.712805018,-1.744806375,0.076266589,0.298373978,1.50796E-06
ENSMUSG00000006457.3,Actn3,199.98,148.04,177.86,14.22,18.5,63.2,63.15,175.2933333,16.36,63.175,-3.132209778,-1.147689953,0.114054101,0.451347352,1.61525E-06
ENSMUSG00000061816.15,Myl1,3411.04,2405.77,3284.59,176.6,181.66,804.59,797.48,3033.8,179.13,801.035,-3.790650199,-1.596075872,0.072260438,0.330775464,1.79504E-06
ENSMUSG00000067653.11,Ankrd23,53.91,45.53,50.87,10.41,13.31,13.38,13.7,50.10333333,11.86,13.54,-1.789065541,-1.558979947,0.289359408,0.339390962,1.87289E-06
ENSMUSG00000030399.1,Ckm,2769.12,1836.13,2437.26,124.06,112.6,391.02,418.45,2347.503333,118.33,404.735,-4.012002268,-2.211180017,0.061982198,0.215957598,1.95109E-06
ENSMUSG00000044938.8,Klhl31,48.28,37.75,50.69,0.85,2.58,8.36,8.48,45.57333333,1.715,8.42,-4.362364533,-2.100427433,0.048618037,0.23318915,2.35045E-06
ENSMUSG00000108322.1,RP23-455C13.7,28.38,31.63,35.59,0.95,1.27,13.28,11.56,31.86666667,1.11,12.42,-4.427509455,-1.032455457,0.046471517,0.488877374,2.60008E-06
ENSMUSG00000011148.13,Adssl1,91.34,63.74,89.69,6.3,7.11,15.56,15.4,81.59,6.705,15.48,-3.300496012,-2.067201045,0.101496648,0.238621998,2.72323E-06
ENSMUSG00000074001.2,Klhl40,17.99,13.88,17.54,0.73,0.98,3.75,3.3,16.47,0.855,3.525,-3.817466386,-1.870705405,0.070929698,0.273439694,2.85525E-06
ENSMUSG00000059824.10,Dbp,73.7,56.61,67.88,13.97,12.23,10.57,10.23,66.06333333,13.1,10.4,-2.041406273,-2.333211862,0.242926827,0.198441839,3.00418E-06
ENSMUSG00000070576.4,Mn1,21.32,17.56,21.26,4.01,3.9,3.45,2.96,20.04666667,3.955,3.205,-2.030003285,-2.284878578,0.244854517,0.205202672,4.06529E-06
ENSMUSG00000031791.7,Tmem38a,77.74,55.41,76.05,6.39,8.44,16.28,16.26,69.73333333,7.415,16.27,-2.932726711,-1.770264776,0.130966823,0.29315493,4.17322E-06
ENSMUSG00000031972.4,Acta1,5211.98,3326.06,4808.04,267.61,233.39,875.39,922.55,4448.693333,250.5,898.97,-3.849381967,-1.98138731,0.069377806,0.253246229,4.68477E-06
ENSMUSG00000032648.14,Pygm,186.89,125.68,187.01,11.15,12.47,61.77,58.63,166.5266667,11.81,60.2,-3.520009318,-1.141185826,0.087170916,0.453386762,5.03937E-06
ENSMUSG00000002500.15,Rpl3l,53.83,35.55,44.54,2,2.2,10.12,10.68,44.64,2.1,10.4,-4.05617078,-1.769314472,0.06011335,0.293348095,5.77437E-06
ENSMUSG00000068697.6,Myoz1,280.7,197.14,281.99,19.83,14.72,58.84,63.65,253.2766667,17.275,61.245,-3.570462211,-1.72208982,0.084175126,0.303109333,5.84342E-06
ENSMUSG00000038239.10,Hrc,33.03,23.03,32.12,1.32,1.48,5.65,6.85,29.39333333,1.4,6.25,-4.004118843,-1.893849484,0.062321819,0.269088104,5.94978E-06
ENSMUSG00000060600.15,Eno3,944.43,554.15,885.52,42.66,53.32,173.02,166.65,794.7,47.99,169.835,-3.762946559,-1.898080157,0.073661442,0.268300164,6.41249E-06
ENSMUSG00000005628.12,Tmod4,89.85,61.83,81.32,8.59,6.7,18.6,19.27,77.66666667,7.645,18.935,-3.041372467,-1.707748322,0.12146626,0.306137499,7.20141E-06
ENSMUSG00000028195.4,Cyr61,101.93,99.53,97.62,37.59,38.22,27.73,29.1,99.69333333,37.905,28.415,-1.10986156,-1.487442444,0.46333849,0.356644234,7.88096E-06
