Gene_ID,Gene_Name,CRT1,CRT2,CRT3,VRT2,VRT1,DRT2,DRT1,Average(CRT),Average(VRT),Average(DRT),logFC.VRT,logFC.CRT,relative.VRT,relative.CRT,PValue
ENSMUSG00000042045.5,Sln,17.23,11.06,20.99,0.34,0.67,61.17,58.25,16.42666667,0.505,59.71,-6.632388253,-2.173880111,0.010079806,0.22161384,1.53487E-06
ENSMUSG00000105207.1,Gm42927,15.4,15.51,15.98,8.02,7.43,27.96,25.35,15.63,7.725,26.655,-1.811530453,-1.083736698,0.284888551,0.471805225,2.12455E-05
ENSMUSG00000105326.1,6030400A10Rik,6.3,4.24,5.88,4.17,5.62,14.52,17.35,5.473333333,4.895,15.935,-1.719850764,-1.835703465,0.303580123,0.280154881,2.58664E-05
ENSMUSG00000105285.1,Gm43238,31.41,32.19,36.23,14.08,9.59,52.43,56.52,33.27666667,11.835,54.475,-2.228066444,-1.028047929,0.213444598,0.490373211,3.68994E-05
ENSMUSG00000097695.1,Gm26905,15.23,17.47,16.93,8.1,9.1,29.92,25.67,16.54333333,8.6,27.795,-1.719676658,-1.062619496,0.303616761,0.478761984,4.87476E-05
ENSMUSG00000101776.1,Gm28268,11.8,10.56,13.19,7.18,5.29,23.71,22.69,11.85,6.235,23.2,-1.915884761,-1.279756618,0.265009363,0.411864984,5.43748E-05
ENSMUSG00000093273.2,Mir3064,0,0,0,0,0,26.38,35.15,0,0,30.765,-8.104826711,-8.104826711,0.003632487,0.003632487,9.1195E-05
ENSMUSG00000095547.1,Gm10719,7.8,20.62,7.51,0,0.15,50.75,42.57,11.97666667,0.075,46.66,-7.982078545,-2.268065338,0.003955077,0.207608103,0.000103533
ENSMUSG00000104559.1,Gm43118,0,0,0,0,0,5.58,6,0,0,5.79,-5.717858916,-5.717858916,0.018999972,0.018999972,0.000119555
ENSMUSG00000094472.1,Gm21897,12.55,11.78,15.71,7.42,5.64,28.77,23.2,13.34666667,6.53,25.985,-2.013396198,-1.27315714,0.24768936,0.413753339,0.000151933
ENSMUSG00000084535.1,Mir1906-1,0,0,0,0,0,4.52,5.03,0,0,4.775,-5.445611243,-5.445611243,0.022946036,0.022946036,0.000172842
ENSMUSG00000084559.1,Mir1906-2,0,0,0,0,0,4.52,5.03,0,0,4.775,-5.445611243,-5.445611243,0.022946036,0.022946036,0.000172842
ENSMUSG00000104060.1,Gm37954,12.95,11.08,15.22,6.42,6.48,23.82,19.42,13.08333333,6.45,21.62,-1.767350623,-1.037508953,0.293747683,0.487167922,0.000180645
ENSMUSG00000064936.1,Gm23722,0,0,0,0,0,8.9,7.18,0,0,8.04,-6.183800425,-6.183800425,0.01375595,0.01375595,0.000195331
ENSMUSG00000061331.5,Gm17132,37.39,40.56,53.76,20.89,17.19,77.98,67.38,43.90333333,19.04,72.68,-1.962797413,-1.046415405,0.256530556,0.484169664,0.000197123
ENSMUSG00000038295.14,Atg9b,15.5,18.46,13.92,12.71,23.58,39.35,39.78,15.96,18.145,39.565,-1.163517682,-1.621069598,0.446422708,0.325094353,0.000202519
