Gene_ID,Gene_Name,CRT1,CRT2,CRT3,VRT2,VRT1,DRT2,DRT1,Average(CRT),Average(VRT),Average(DRT),logFC.CRT,logFC.DRT,relative.CRT,relative.DRT,PValue
ENSMUSG00000020911.14,Krt19,3.62,2.61,2.98,52.93,58.08,1.65,1.18,3.07,55.505,1.415,-4.395807834,-5.147135066,0.047503979,0.028220061,1.00448E-08
ENSMUSG00000035686.8,Thrsp,125.62,108.49,124.98,192.01,225.53,7.28,6.78,119.6966667,208.77,7.03,-1.082312795,-4.829107393,0.472271115,0.035179837,9.65485E-08
ENSMUSG00000024990.12,Rbp4,74.57,56.07,62.38,106.18,113.1,3.96,4.33,64.34,109.64,4.145,-1.052323809,-4.651410955,0.482190854,0.039791085,4.2446E-07
ENSMUSG00000066154.11,Mup3,3.26,2.93,2.54,12.77,14.11,1.21,0.95,2.91,13.44,1.08,-2.431861745,-3.466806666,0.185326135,0.09044555,8.4123E-07
ENSMUSG00000073842.10,Mup7,12.88,17.41,15.8,59.89,82.79,3.27,5.78,15.36333333,71.34,4.525,-2.479735973,-3.901537644,0.179277212,0.066914485,1.08358E-06
ENSMUSG00000049382.9,Krt8,2.23,2.2,2.11,28.6,24.14,2.47,2.66,2.18,26.37,2.565,-3.794390099,-3.267528296,0.072073359,0.1038427,1.54919E-06
ENSMUSG00000012705.16,Retn,128.54,120.23,111.89,331.09,260.36,16.18,17.86,120.22,295.725,17.02,-1.596916787,-4.090026558,0.330582718,0.058719091,2.78509E-06
ENSMUSG00000023043.6,Krt18,3.83,7.25,4.01,61.92,55.39,15.41,14.8,5.03,58.655,15.105,-3.791220263,-1.913849803,0.07223189,0.265383429,3.19436E-06
ENSMUSG00000032496.7,Ltf,0.21,0,0.22,7.61,9.87,0,0,0.143333333,8.74,0,-5.245721736,-6.262694793,0.026356055,0.013023899,5.37693E-06
ENSMUSG00000078680.3,Mup10,703.18,1170.64,732,1421.17,1716.4,69.43,72.33,868.6066667,1568.785,70.88,-1.121513281,-4.423629401,0.459611474,0.046596668,1.39807E-05
ENSMUSG00000044217.16,Aqp5,1.11,2.46,1.97,12.95,11.33,0.73,0.71,1.846666667,12.14,0.72,-2.904936466,-3.840094868,0.133514056,0.069825854,1.44696E-05
ENSMUSG00000078673.10,Mup19,11.25,17.58,20.84,35.43,50.83,1.07,0.67,16.55666667,43.13,0.87,-1.649686441,-5.417176209,0.318709418,0.023402781,1.75835E-05
ENSMUSG00000022435.5,Upk3a,0,0,0,20.67,24.96,0,0,0,22.815,0,-7.635255736,-7.635255736,0.005029896,0.005029896,2.10088E-05
