LC_Up_Regulated_Genes,Signalling,DCT1,DCT2,DCT3,ERST2,ERST3,LC1,LC2,LC3
AC160635.1,LC_DCT_LC_UP,76.99,107.01,119.39,138.93,94.1,311.32,312.53,231.21
Zswim7,LC_DCT_LC_UP,7.15,6.4,6.18,13.87,15.48,29.16,46.33,35.8
Zmat1,LC_DCT_LC_UP,0.39,0.51,0.58,0.61,0.59,3.79,4.38,4.35
Zfp783,LC_DCT_LC_UP,0.91,1.52,0.87,2.18,1.88,8.35,8.31,9.62
Zfp703,LC_DCT_LC_UP,14.38,15.66,11.92,15.93,14.43,59.6,58.29,60.24
Zfp648,LC_DCT_LC_UP,0,0,0,0,0,2.86,4.2,2.91
Zfp641,LC_DCT_LC_UP,0.1,0.2,0.06,0.27,0.16,2.33,2.18,2.53
Zfp521,LC_DCT_LC_UP,0.31,0.44,0.2,2.47,2.01,8.92,9.19,8.55
Zfp423,LC_DCT_LC_UP,0.39,0.54,0.63,1.39,1.16,9.98,15.25,9.55
Zfp385c,LC_DCT_LC_UP,0.45,0.4,0.29,0.35,0.36,48.69,51.99,50.52
Zfp385b,LC_DCT_LC_UP,0.56,1.22,0.65,6.47,6.23,25.17,23.19,26.64
Zfp36,LC_DCT_LC_UP,51.76,53.22,56.03,30.27,29.79,1073.24,1114.28,1122.53
Zfhx4,LC_DCT_LC_UP,0.51,0.57,0.22,0.91,0.85,15.39,16.42,19.3
Zeb1,LC_DCT_LC_UP,1.31,1.38,1.37,5.35,5.75,17.12,15.1,17.4
Zcchc18,LC_DCT_LC_UP,0.13,0.13,0.26,0.18,0.2,4.12,4.48,4.64
Zbtb20,LC_DCT_LC_UP,4.9,5.04,6.77,18.53,17.72,124.85,129.25,119.01
Ythdc2,LC_DCT_LC_UP,3.36,1.83,2.43,3.82,2.9,21.15,11.74,19.01
Yjefn3,LC_DCT_LC_UP,1.61,1.23,0.59,2.53,0.93,8.97,14.18,10.73
Xylt1,LC_DCT_LC_UP,0.45,0.59,0.41,0.88,0.7,23.97,22.45,24.11
Xirp2,LC_DCT_LC_UP,2.85,2.54,1.84,0.55,0.65,21.96,20.85,21.89
