LC_Up_Regulated_Genes,,DCT1,DCT2,DCT3,ERST2,ERST3,LC1,LC2,LC3,DCT-average,ERST-average,LC-average
Krtap22-2,DCT_ERST_DCT_UP,19362.53,19210.26,7917.57,24.66,26.24,0,0,0,15496.78667,25.45,0
Krtap7-1,DCT_ERST_DCT_UP,18947.98,18914.63,13576.12,38.99,41.65,0,0,0,17146.24333,40.32,0
Actb,DCT_ERST_DCT_UP,15896.73,15757.8,12040.64,6541.88,8981.15,3012.17,2903.28,3175.81,14565.05667,7761.515,3030.42
Prr9,DCT_ERST_DCT_UP,14040.21,14005.32,12850.96,68.61,64.15,0,0,0,13632.16333,66.38,0
Gm10229,DCT_ERST_DCT_UP,10729.02,10724.79,5149.01,19.3,14.68,0,0,0,8867.606667,16.99,0
Krtap8-1,DCT_ERST_DCT_UP,9838.9,9759.21,5478.73,23.6,19.8,0,0,0,8358.946667,21.7,0
S100a3,DCT_ERST_DCT_UP,9494.61,9432.94,7857.38,87.03,96.48,1.6,2.21,1.54,8928.31,91.755,1.783333333
Gm15662,LC_DCT_LC_UP,9186.08,8715.03,8407.24,9812.36,11047.6,82027.89,75198.58,82996.08,8769.45,10429.98,80074.18333
Krt71,DCT_ERST_DCT_UP,8292.24,8240.25,10827.91,59.86,57.68,0,0,0,9120.133333,58.77,0
Krtap15,DCT_ERST_DCT_UP,7292.42,7219.72,4947.88,12.23,14.37,0,0,0,6486.673333,13.3,0
Gm37750,DCT_ERST_DCT_UP,7068.19,7347.47,4537.04,1182.95,993.52,2254.85,2901.35,1949.53,6317.566667,1088.235,2368.576667
Krtap6-5,DCT_ERST_DCT_UP,6578.9,6599.71,2719.17,12.16,11.9,0,0,0,5299.26,12.03,0
Krtap3-1,DCT_ERST_DCT_UP,6357.66,6265.09,4681.91,19.95,26.9,0,0,0,5768.22,23.425,0
Krt27,DCT_ERST_DCT_UP,6051.62,5973.15,5827.89,40.3,36.97,0,0,0,5950.886667,38.635,0
Sprr1a,DCT_ERST_DCT_UP,5777.16,5640.99,4698.22,700.94,708.7,0.13,0,0.46,5372.123333,704.82,0.196666667
Krtap19-9b,DCT_ERST_DCT_UP,5620.9,5460.1,2422.11,5.77,5.33,0,0,0,4501.036667,5.55,0
Gm29216,LC_DCT_LC_UP,5374.31,5490.52,5931.37,5997.47,5836.26,23026.55,21312.74,23719.25,5598.733333,5916.865,22686.18
Krtap14,DCT_ERST_DCT_UP,5347.27,5276.55,3151.14,10.2,9.87,0,0,0,4591.653333,10.035,0
Gm10228,DCT_ERST_DCT_UP,5346.93,5393.08,2283.42,7.51,8.56,0,0,0,4341.143333,8.035,0
Krtap6-1,DCT_ERST_DCT_UP,5098.55,5089.18,1920.05,7.49,9.41,0,0,0,4035.926667,8.45,0
Krtap19-3,DCT_ERST_DCT_UP,4349.49,4336.63,1837.11,5.88,4.68,0,0,0,3507.743333,5.28,0
Rn18s-rs5,LC_DCT_LC_UP,3860.85,3898.37,3223.89,906.26,771.09,11261.51,10453.62,11772.48,3661.036667,838.675,11162.53667
1110025L11Rik,DCT_ERST_DCT_UP,3737.09,3828.5,1315.16,5.73,4.17,0,0,0,2960.25,4.95,0
Krt17,DCT_ERST_DCT_UP,3734.2,3680.43,3862.64,635.04,579.99,1.27,2.27,1.19,3759.09,607.515,1.576666667
Gm28437,LC_DCT_LC_UP,3136.73,3224.1,3555.64,2641.99,2484.28,14516.73,12763.3,14296.98,3305.49,2563.135,13859.00333
Gm11938,DCT_ERST_DCT_UP,3013.2,2942.2,1303.02,11.28,8.52,0,0,0,2419.473333,9.9,0
Krtap16-3,DCT_ERST_DCT_UP,2992.83,2961.5,1740.52,3.18,2.44,0,0,0,2564.95,2.81,0
Krtap3-3,DCT_ERST_DCT_UP,2985.62,2896.86,1728.01,27.22,35.36,0,0,0,2536.83,31.29,0
Gm11562,DCT_ERST_DCT_UP,2775.6,2692.74,1172.27,11.35,8.98,0,0,0,2213.536667,10.165,0
Psors1c2,DCT_ERST_DCT_UP,2742.1,2750.66,1900.32,64.51,59.29,0.5,0.23,1.17,2464.36,61.9,0.633333333
Krtap11-1,DCT_ERST_DCT_UP,2712.95,2675.79,2117.83,8.08,8.27,0,0,0,2502.19,8.175,0
Krtap1-5,DCT_ERST_DCT_UP,2581.15,2564.4,1379.48,2.53,2.53,0,0,0,2175.01,2.53,0
Gm11937,DCT_ERST_DCT_UP,2550.39,2346.96,1102.53,14.14,15.64,0,0,0,1999.96,14.89,0
Pinlyp,DCT_ERST_DCT_UP,2533.9,2544.25,2099.18,71.95,64.97,0,0.23,0.15,2392.443333,68.46,0.126666667
5430421N21Rik,DCT_ERST_DCT_UP,2485.97,2423.43,1956.18,10.34,9.94,0,0,0,2288.526667,10.14,0
Krtap4-8,DCT_ERST_DCT_UP,2446.92,2341.38,1097.29,13.81,9.4,0,0,0,1961.863333,11.605,0
Gm37376,LC_DCT_LC_UP,2443.78,2417.53,2227.53,2871.29,3282.68,15588.41,14383.82,17029.85,2362.946667,3076.985,15667.36
Gm11595,DCT_ERST_DCT_UP,2351.45,2247.14,903.06,12.07,8.54,0,0,0,1833.883333,10.305,0
Krt25,DCT_ERST_DCT_UP,2222.07,2190.15,2013.64,16.27,14.49,0,0,0,2141.953333,15.38,0
Krtap4-6,DCT_ERST_DCT_UP,2200.64,2103.92,963.01,11.89,9.61,0,0,0,1755.856667,10.75,0
Rpl38,DCT_ERST_DCT_UP,2199,2177.45,1702.93,1183.9,1134.87,569.79,616.68,583.67,2026.46,1159.385,590.0466667
Krt28,DCT_ERST_DCT_UP,2182.89,2150.55,2132.57,7.15,6.89,0.23,0.1,0.2,2155.336667,7.02,0.176666667
Tchh,DCT_ERST_DCT_UP,2112.4,2035.1,2232.89,10.46,9.9,0.34,0.38,0.34,2126.796667,10.18,0.353333333
Krtap2-4,DCT_ERST_DCT_UP,2092.77,2096.32,1023.13,8.03,5.59,0,0,0,1737.406667,6.81,0
Cnfn,DCT_ERST_DCT_UP,2040.18,1990.36,1325.91,431.12,365.06,0.25,0,0.28,1785.483333,398.09,0.176666667
Sfn,DCT_ERST_DCT_UP,1990.87,1965.26,2099.29,715.12,677.22,0.99,1.45,0.74,2018.473333,696.17,1.06
Krt33a,DCT_ERST_DCT_UP,1974.61,1970.22,1951.82,8.68,7.98,0,0,0,1965.55,8.33,0
Tnnc2,LC_DCT_LC_UP,1929.61,1906.88,998.05,348.56,390.1,5107.01,5708.16,5133.23,1611.513333,369.33,5316.133333
Krtap4-7,DCT_ERST_DCT_UP,1885.18,1816.75,850.36,8.19,6.23,0,0,0,1517.43,7.21,0
Krtap4-9,DCT_ERST_DCT_UP,1832.25,1778.2,808.82,11.4,9.73,0,0,0,1473.09,10.565,0
Krtap3-2,DCT_ERST_DCT_UP,1781.18,1783.06,1071.97,50.07,60.86,0,0,0,1545.403333,55.465,0
Krt72,DCT_ERST_DCT_UP,1700.24,1656.44,1186.81,5.14,3.18,0,0,0,1514.496667,4.16,0
Myl6,DCT_ERST_DCT_UP,1692.7,1684.32,1306.3,788.16,790.37,679.15,737.33,644.06,1561.106667,789.265,686.8466667
Krt81,DCT_ERST_DCT_UP,1621.93,1602.08,1092.41,6.65,5.91,0,0,0,1438.806667,6.28,0
Krtap4-13,DCT_ERST_DCT_UP,1594.39,1580.31,667.03,12.69,9.55,0,0,0,1280.576667,11.12,0
Gm11555,DCT_ERST_DCT_UP,1561.28,1497.97,623.43,7.72,6.69,0,0,0,1227.56,7.205,0
Cstb,DCT_ERST_DCT_UP,1503.03,1516.97,1218.35,618.02,642.55,105.48,110.95,114.55,1412.783333,630.285,110.3266667
Krtap19-5,DCT_ERST_DCT_UP,1481.2,1511.88,735.16,1.85,1.85,0,0,0,1242.746667,1.85,0
Crym,DCT_ERST_DCT_UP,1439.74,1436.73,1257.23,5.26,4.62,0.03,0,0.08,1377.9,4.94,0.036666667
S100a16,DCT_ERST_DCT_UP,1426.49,1419.71,1302.84,637.79,690.78,92.51,94.79,101.74,1383.013333,664.285,96.34666667
Churc1,DCT_ERST_DCT_UP,1422.7,1494.43,1217.23,340.25,310.98,310.2,303.35,294.67,1378.12,325.615,302.74
Krt33b,DCT_ERST_DCT_UP,1400.78,1392.15,1122.81,6.72,7.21,0,0,0,1305.246667,6.965,0
