"","DCT1","DCT2","DCT3","ERST2","ERST3","LC1","LC2","LC3"
"Zp2",0.613311562600657,0.539435394134458,0.545861562583209,0,0,0.182139937056368,0.139883971267453,0.15425626724578
"Vtcn1",0.483137433028882,0.506965424691552,0.624243584650165,0.031523806989335,0.0617431332979286,0.128892558289169,0.0369835769423422,0.031523806989335
"Upk3bl",0.681836087234313,0.60154935220216,0.502535933872363,0.00212916741234755,0.00960843042039855,0.166415137362666,0.0369835769423422,0.031523806989335
"Upk1b",0.563859843884167,0.649063374128673,0.615848709775242,0.00212916741234755,0.00630713684821626,0.0317528666197353,0.0369835769423422,0.031523806989335
"Uox",0.851374928340191,0.808813999325575,0.914392118292376,0.00833731880287442,0.0374839197490514,0.0317528666197353,0.0369835769423422,0.031523806989335
"Ttyh3",0.924503442893215,0.919453238416678,0.958604989014768,0.332922782368941,0.353517069594495,0.445428649179319,0.432071493254747,0.477060059310993
"Tspan1",0.527067446795086,0.593226389257443,0.676066967979495,0.00264866238374226,0.0129177707661519,0.0317528666197353,0.0369835769423422,0.031523806989335
"Trpm2",0.844644257547955,0.960064762358981,0.866650053831257,0.138593027240718,0.223013558496495,0.358989969852239,0.319714581374436,0.353517069594495
"Trim40",0.494086984295716,0.459992496769565,0.498110288995641,0.00212916741234755,0.00732697462632022,0.0317528666197353,0.0369835769423422,0.031523806989335
"Tmem179",0.585354029299997,0.517338407778015,0.443845289947115,0.0114052437398811,0.0114052437398811,0.245905592946103,0.184695806456062,0.193756201214632
"Tmem171",0.943727204310699,0.94005892145121,1.02010605001864,0.43050408952203,0.433343170617994,0.382379615482694,0.330907584121995,0.341509857903285
"Tmeff1",0.763291819914034,0.810500766658097,0.877777515289178,0.24006889639141,0.243374036954861,0.375079766924133,0.433831492321211,0.375534095507155
"Tex40",0.968725730530394,0.922822162400997,0.91600433878019,0.175712909849548,0.157643591982968,0.0317528666197353,0.0369835769423422,0.031523806989335
"Teddm1b",1.02644288618799,1.08520693932204,1.06216125377123,0.0878042803011615,0.174952161827226,0.497840726000235,0.334003997292873,0.420048436499849
"Sytl2",1.01006352170308,1.00014724142801,1.09732300577771,0.352774694896018,0.407584250660264,0.328333795432489,0.359688326533436,0.394460664340726
"Syt7",0.63201144874925,0.613726893656907,0.513478488200528,0.00264866238374226,0.00960843042039855,0.182139937056368,0.200879901047388,0.197987240739001
"Synb",0.922096284316325,0.947819773967731,0.991661391325072,0.0701891884032568,0.116108720011038,0.293008815218133,0.215857892876111,0.263686645527842
"Steap1",1.00277992807478,1.02862177142027,1.20036855543968,0.0763959899594465,0.157643591982968,0.454453868349895,0.473741222908909,0.514751805010215
"St8sia1",0.645553833508018,0.708796825193617,0.578297047698382,0.0630361906562099,0.0322486400219355,0.151697529380358,0.13298526211092,0.1620192438175
"Spink6",0.684047257449576,0.676356752334589,0.703602434215551,0.0240246450128647,0.0252191450629083,0.0317528666197353,0.0369835769423422,0.031523806989335
"Slco5a1",0.891394168987681,0.849947724948809,0.985670875996339,0.0421791541815112,0.0529907562828181,0.466605980045476,0.488375515977472,0.546371159956791
"Slc5a8",0.98634057934405,0.951993940445534,1.02119391945386,0.459992496769565,0.458439519608398,0.0317528666197353,0.0369835769423422,0.104359970607263
"Slc4a1",0.802224715983274,0.795866980436821,0.808103462044708,0.00160465308814653,0.00630713684821626,0.0317528666197353,0.0369835769423422,0.031523806989335
"Slc34a2",0.876148777409932,0.873985838572853,0.944158045438996,0.407807194752816,0.438772447104227,0.0317528666197353,0.0369835769423422,0.031523806989335
"Slc30a3",0.66319597399407,0.626335657609018,0.61806383776864,0.00732697462632022,0.00833731880287442,0.156542997937649,0.228246278355315,0.178029550783154
"Slc27a6",0.98090832618472,1.01158649364073,1.19418506045252,0.324040745084937,0.33669703176619,0.254959998841653,0.182139937056368,0.225542670296566
"Slain1",0.729599486275289,0.766287694259598,0.936755534329449,0.0680805072285762,0.0564931500654277,0.0317528666197353,0.0369835769423422,0.031523806989335
