"","DCT1","DCT2","DCT3","ERST2","ERST3","LC1","LC2","LC3"
"Zfp772",0.61054947417328,0.582579769628176,0.704972124729179,1.18974336001605,1.1500208227709,0.590150118247975,0.597185559210457,0.493382998896529
"Zfp652",0.668802198036623,0.684047257449576,0.753905532791897,1.5460432907642,1.61107179751521,0.813589114193647,0.769224884401624,0.802224715983274
"Zfp367",0.783741457335226,0.758157973172785,0.756390687517242,1.39696391621031,1.44092962505075,0.693969764645688,0.609864067424102,0.668622651898031
"Wnt7b",0.854173875088744,0.851672195435415,0.88235408837977,1.55977224818381,1.5042783477195,0.0317528666197353,0.0369835769423422,0.107803176047604
"Wfdc12",0.359688326533436,0.424698874426491,0.121247051195985,1.65551385413599,1.72078973848649,0.563652758537597,0.537238496989351,0.287284684880122
"Wdr62",0.633776477080588,0.560009006732323,0.162339504306518,1.22754485585419,1.20906404923688,0.482164894343086,0.705871617703672,0.448389444710972
"Uty",0.227692243252007,0.276900933218344,0.45921372430319,1.17722592361352,1.24423978895215,0.509438028781361,0.350100392634345,0.466055432002883
"Tslp",0.481522313141872,0.483137433028882,0.382379615482694,0.93505938091047,0.969075902490157,0.311617556191627,0.361228197058113,0.319460431561595
"Trdv4",0.373243787081652,0.432668615559036,0.580816541230646,1.30806389131917,1.3022476636487,0.0317528666197353,0.280121456226678,0.362081065751007
"Tpsab1",0.0317528666197353,0.0602475268467745,0.0274360478541805,1.63174045759472,1.56828715319993,0.785661559030653,0.859819469827304,0.761209804730548
"Tnnt2",0.703602434215551,0.791629021227542,0.877777515289178,1.4635734713783,1.52578837239643,0.517338407778015,0.569409566109344,0.624243584650165
"Tnfaip8l2",0.629753038812433,0.609227912020786,0.385704644826455,1.08151749822454,1.06216125377123,0.375079766924133,0.362556450960918,0.365028346200452
"Tm7sf2",0.7577959198797,0.782904636243904,0.813064325435774,1.34607335335425,1.27138380980909,0.609227912020786,0.736751758088966,0.677982233885179
"Tjp3",0.430212352278453,0.432668615559036,0.58966535685547,1.34108630592971,1.24762602123355,0.0317528666197353,0.0369835769423422,0.107803176047604
"Tcrg-C1",0.43947712657701,0.448956977639568,0.413394854623001,1.1605423821562,1.26006416216202,0.0317528666197353,0.0369835769423422,0.031523806989335
"Stap2",0.958130320805442,0.916646360906325,1.05491917687795,1.72078973848649,1.80073136122805,0.423999421145049,0.502535933872363,0.582993508684436
"Spi1",0.715451187560565,0.595582419218377,0.517762918961529,1.49196938804348,1.47027395644862,0.710218486653003,0.801347078345263,0.655376561732456
"Spag1",0.508422968346294,0.590495020125879,0.625435001575367,1.1011628381382,1.11510073975637,0.29881747997634,0.267987915004715,0.288442664079249
"Slpi",0.460925561349126,0.674284104247639,0.58966535685547,1.33424494341706,1.30843740235334,0.396913456311394,0.489602493330927,0.4703539628501
"Slc6a9",0.651491935554658,0.701366982642492,0.739867847021609,1.35078557559752,1.30435177987775,0.628152744233244,0.638089294645461,0.70704023191485
"Slc6a14",0.837393704126226,0.847178072043586,0.995732160412013,1.41679597710121,1.44822100758308,0.139638327915676,0.128704713905437,0.134350057020728
"Slc22a4",0.55538438150811,0.492325323156622,0.652874676917567,1.4663277108615,1.45486626697936,0.895397621154077,0.904784777236704,0.90732808757235
"Slc16a14",0.351059603988733,0.487436758299,0.736404340109744,1.23387466057728,1.23763266436429,0.195198730944043,0.197653167006335,0.1620192438175
"Skint5",0.423999421145049,0.404717210957279,0.764426601248336,1.65880248007672,1.61899672551802,0.0317528666197353,0.0369835769423422,0.031523806989335
"Skint11",0.774466862381807,0.836156607449903,1.03040259721891,1.41084693198906,1.4635734713783,0.173842494931985,0.0369835769423422,0.179766431434115
"Skint1",0.740370072330067,0.662788835092877,0.960064762358981,1.49515317069973,1.43115204175943,0.0317528666197353,0.0369835769423422,0.031523806989335
"Serpinb6d",0.123533884454679,0.109459281669886,1.03768526482871,2.15235173816509,2.13734409718817,0.0317528666197353,0.0369835769423422,0.031523806989335
