"","DCT1","DCT2","DCT3","ERST2","ERST3","LC1","LC2","LC3"
"AC160635.1",1.86049638975179,1.98166446432627,2.02627569541534,2.33036514691978,2.1098541158943,2.50291241047135,2.47595889279218,2.36749681714291
"Zfp36",1.69445976037738,1.7161680370198,1.75629087419724,1.52212774564263,1.53114527241604,3.00922330544938,3.01843430577977,3.04059148823103
"Wif1",1.10037680631899,1.07537154242445,1.42303737246011,1.34952591081532,1.39183685941536,3.22562425787105,3.20650999816283,3.24711812590053
"Ttn",1.95477175065375,1.90835979078529,1.72078973848649,1.2553056925141,1.27343304345302,2.56648103530631,2.58734804724371,2.60314195231124
"Tspan3",1.92033729758494,1.92951059009578,1.9520732023131,2.01842408830046,1.9538360978008,2.40205685632476,2.43463817600352,2.3916712556321
"Tsc22d1",1.86757682031369,1.87110584906677,1.97462609885368,2.07493827828062,2.15235173816509,2.37939494646517,2.34425469413421,2.38945262209778
"Trf",2.04136297902098,2.03417285269112,1.9461041522575,2.38499533290259,2.40740373445442,3.09709919771371,3.09709919771371,3.07735038735221
"Tppp3",1.77436963337869,1.77436963337869,1.75923615832993,2.17283623344665,2.17888738526235,2.38375505348869,2.44846624202839,2.37939494646517
"Timp3",1.78506077213505,1.77602477630584,1.83469093196502,1.78996917789331,1.80821435579442,3.03322392303181,3.00060641565819,3.03322392303181
"Timp2",1.63174045759472,1.63374469833234,1.52721037359079,2.06441027747321,2.11747040869014,2.53034282912153,2.54245295491465,2.53643668664594
"Tcf4",1.41368369941692,1.35287121511619,1.52489894532547,1.85118391050614,1.87321313805807,2.19689777780052,2.23212930640028,2.22145032298886
"Sncg",1.72250246110298,1.74915082433044,1.49785523413187,1.97743295853785,1.9801738806234,2.90935815439566,2.90935815439566,2.87303170682346
"Smoc2",1.26006416216202,1.28790644953813,1.26742869375486,1.74746836354474,1.71120649917722,2.62862564100934,2.67365048946061,2.62252671803588
"Sln",1.62671465570632,1.62671465570632,0.513478488200528,1.25393550407481,1.28506631269266,2.9270723952023,2.93203252551675,2.9174211063023
"Slc25a4",2.17283623344665,2.16912071796031,2.32038204457788,2.37530236625704,2.47595889279218,2.96406137202531,2.97447154404067,2.96406137202531
"Sdf4",1.87735458475844,1.88246820645725,1.85340623869584,2.32038204457788,2.32254686332453,2.51886269440585,2.57015800827226,2.5273284107719
"Rps2-ps10",0.970638899334828,1.13087397829548,1.10529369151784,1.9801738806234,2.00087669703625,2.77686377822285,2.80450231623117,2.76444401228622
"Rbp4",1.53079202337663,1.51817572798809,1.22754485585419,1.56593796263489,1.60604180854484,2.59431776720024,2.60027243917952,2.60027243917952
"Rabac1",2.09577794681034,2.08861571603609,2.01477475960144,2.7033359370967,2.67868143517281,2.80979342695344,2.8177253360031,2.78388487483812
"Ptms",2.11435908349006,2.10752940626309,2.18167920947924,2.58060887009569,2.58957566625804,2.78804783072228,2.75766356903678,2.77686377822285
"Pink1",1.66449126452068,1.64863049834096,1.55325499259298,2.14817740661355,2.06890146416103,2.47595889279218,2.55234465881625,2.47203046190967
"Penk",1.28590944297384,1.26543254054941,1.28241437576184,1.55851845272872,1.61348066862048,3.14892923802238,3.16708846755687,3.16708846755687
"Pam",1.5460432907642,1.53224269406405,1.60604180854484,2.09743204132358,2.14817740661355,2.98477236507937,2.94495511123464,2.98477236507937
"Ninj1",1.55325499259298,1.54412796754072,1.39807730342531,1.96947146053947,1.93119761954403,2.3916712556321,2.45413583432947,2.36911327815136
"Nfkbia",1.83982864446426,1.8427354706667,1.86707133613205,2.26859460131982,2.27149150844756,2.42387391545712,2.47460891808112,2.43463817600352
"Nfix",1.70907240448875,1.66079377205552,1.63915636192937,1.85789177924737,2.01716286700356,2.29927832241876,2.29927832241876,2.29509948565524
"Nenf",1.77882202704879,1.76011545782944,1.60953543427299,2.21362167853942,2.16061906956965,2.34843994211063,2.42387391545712,2.37158963085701
"Neb",1.905872363491,1.905872363491,1.85856331503923,1.42951880113951,1.44230998061242,2.7033359370967,2.7205673812416,2.69571665918939
"Ndrg2",1.89417241630576,1.88482350016333,1.90835979078529,1.69903028970315,1.73812830370877,2.54617169344624,2.5554369522138,2.5554369522138
"Mgp",2.03148701544314,2.01889042809909,1.57811029180684,2.0456037326533,1.98831004159062,3.15663300357629,3.13558554382276,3.15663300357629
"Mfge8",1.82700356564534,1.82916842730441,1.78031801370593,2.04328599378468,2.0235852007096,2.63938292421649,2.68931468705058,2.62862564100934
"Mb",1.52436311473822,1.52489894532547,1.37614131041457,1.61899672551802,1.54412796754072,3.3752468541687,3.41924549970196,3.3752468541687
"Ltbp4",1.56364287267904,1.52721037359079,1.55977224818381,1.75166222011607,1.7161680370198,2.28892857910066,2.31205880856811,2.29693876723378
"Lrp1",1.42053336539461,1.37516714357687,1.31885620708127,1.86484255672415,1.88246820645725,2.2077268295243,2.2077268295243,2.23212930640028
"Ldhb",1.72999897458645,1.75496150498601,1.76011545782944,2.2077268295243,2.19099185464821,2.60027243917952,2.63938292421649,2.58450765677347
"Junb",2.14352840020977,2.14817740661355,2.23761718888684,2.42387391545712,2.33036514691978,3.20307104642769,3.20307104642769,3.20650999816283
"Itm2c",1.66683287907187,1.65715092048107,1.6147953601489,1.94145878238007,1.9461041522575,2.22422956547923,2.25298496394869,2.22422956547923
"Igfbp6",1.76946200030513,1.75392959102773,1.34490141968471,2.44258001142554,2.47203046190967,2.68153558814555,2.73539370893396,2.69823407375659
"Ier3",1.74617160376943,1.70237100141295,1.6676021350213,1.66449126452068,1.64767681463663,2.88619757201027,2.84916780497437,2.89347464130993
"Ier2",1.91598167173812,1.89933144795179,1.95477175065375,2.22865001270549,2.2077268295243,3.12348336839701,3.14197538033663,3.13558554382276
"Idh2",1.36013248613551,1.33987025984172,1.2455518134796,1.93119761954403,1.91497921474035,2.32254686332453,2.32038204457788,2.29927832241876
"Id3",2.09223983114145,2.07842609693808,2.2077268295243,2.27772686523408,2.26322310764231,2.89347464130993,2.9174211063023,2.88619757201027
"Id1",1.97269332905767,1.96581048977741,2.03148701544314,2.29693876723378,2.23212930640028,2.93203252551675,2.99230579531652,2.94495511123464
"Gstm5",2.03417285269112,2.04136297902098,2.01108491139978,2.34425469413421,2.33923415162844,2.69823407375659,2.73876841364864,2.68931468705058
"Gstm1",1.96581048977741,2.00485243997688,1.82207101704723,2.33923415162844,2.35137321358167,2.6180328413941,2.59431776720024,2.59431776720024
"Gnas",1.94354566094542,1.92178875553792,2.04136297902098,2.53338975788373,2.52374300482922,2.86258855398482,2.87868560543977,2.84916780497437
"Gm4617",1.48700974445496,1.17763108185744,1.81467089896406,1.98978691515072,2.36260460156069,2.57015800827226,2.61186917509513,2.52374300482922
"Gm42418",2.06645286355171,2.0456037326533,1.52382728415096,1.53767123466806,1.52953659501123,2.63485921415414,2.70864270660378,2.66354514210028
"Gm27896",1.5825082556085,1.53399523053412,1.80476226474882,1.57124270716582,1.63505736104908,2.45413583432947,2.27553818201994,2.44846624202839
"Gm27826",1.37976799769533,1.43190012519986,1.6693660697118,1.62111098965573,1.81467089896406,2.56287988727629,2.42601252754477,2.58957566625804
"Gm27754",1.95879321883663,1.97269332905767,1.96581048977741,2.28159456996402,2.51886269440585,2.66354514210028,2.64697525832144,2.85915355357451
"Gm25960",2.0456037326533,1.95477175065375,2.03908938128441,2.5554369522138,2.57015800827226,2.9174211063023,2.87303170682346,2.93705180877292
"Gm25735",1.34721432256735,1.5042783477195,1.64593148477355,1.76445503636667,1.85541346702791,2.7205673812416,2.5273284107719,2.65683854757281
"Gm25240",1.64117786899724,1.67537435641311,1.70850053611954,2.18167920947924,2.07184471440713,2.58450765677347,2.62862564100934,2.61186917509513
"Gm25190",1.79897633924223,1.75923615832993,1.95668078347462,2.54245295491465,2.00485243997688,3.32393767870032,3.2685562884642,3.30626415821666
"Gm25072",2.03553495186064,2.037310670131,2.17124472826909,2.17888738526235,2.16912071796031,3.07735038735221,2.95611580329741,3.06108590200106
"Gm24081",1.60604180854484,1.65209813762004,1.56183589696556,1.85856331503923,1.83469093196502,2.31404626211641,2.29693876723378,2.38499533290259
"Gm23840",2.0736141097334,1.68122836048859,2.12850969366223,2.49370195743807,2.41911952167887,3.13558554382276,2.9681288042271,3.14197538033663
"Gm23632",1.84641693893245,1.69006857922212,1.94046948596663,2.57015800827226,2.29509948565524,2.77203808046041,2.79733783610993,2.78804783072228
"Gm22692",2.01716286700356,1.91598167173812,1.43115204175943,2.08390365664554,1.51662443598453,2.65200415037449,2.4801979166102,2.45413583432947
"Gm22460",1.44822100758308,1.92565033852451,1.92033729758494,2.30973549078286,2.41045747886997,2.47460891808112,2.56648103530631,2.56287988727629
"Gm22411",1.73222464538503,1.40503133080118,1.50095587225746,1.86049638975179,1.36074065527857,2.36911327815136,2.41562333594639,2.34425469413421
"Gm22002",1.81203525492166,1.72250246110298,1.83982864446426,2.12367668164005,2.18167920947924,2.86587245781336,2.74975585705497,2.90000066197655
"Gm11032",1.98831004159062,1.82700356564534,2.13734409718817,2.29509948565524,2.2601200008255,2.83746779399203,2.6180328413941,2.90935815439566
"Gadd45g",1.6747673335506,1.6298946208717,1.94145878238007,1.62188453928776,1.6693660697118,2.31205880856811,2.36749681714291,2.33494788757806
"G0s2",1.35813261217302,1.40076617447065,1.18998470451245,1.87735458475844,1.82433479837922,3.02182816903779,3.04888136977343,3.00922330544938
"Fxyd6",1.25182511752591,1.26068844618057,1.23045677150515,1.57484897776228,1.63578613896744,2.65683854757281,2.66354514210028,2.64697525832144
"Fxyd1",2.05854133047526,2.09223983114145,1.87735458475844,2.14504758055271,2.29118044610775,2.84916780497437,2.81426432421354,2.82530172624137
"Fos",1.53914488077574,1.55698042584931,1.55195234228927,1.42303737246011,1.42873149819225,3.53918630883531,3.53918630883531,3.53918630883531
"Fn1",1.48995920275509,1.53701495753022,1.43529450006663,2.01716286700356,2.01842408830046,2.28159456996402,2.27988095304284,2.28556225040793
"Fhl1",1.99307587619476,2.00311936601409,1.87321313805807,1.81755485275332,1.75496150498601,2.70864270660378,2.69571665918939,2.70864270660378
"Eln",1.20715527587437,1.19196570020148,0.988620589851712,1.43908466257027,1.4720898077871,2.73876841364864,2.71667209397378,2.7205673812416
"Egr1",1.70129700730759,1.72373308697786,1.74746836354474,1.42716833571039,1.43622267986577,2.9681288042271,2.95026123476895,2.97447154404067
"Dusp1",1.37516714357687,1.36623820403389,1.43264820864028,1.89663562539696,1.89221644809738,2.84225693127267,2.852245399913,2.81426432421354
"Cyr61",1.28055186702436,1.30045638015706,1.34567714260956,1.23987142161101,1.2034907644471,3.10536852182719,3.10536852182719,3.11237489930371
"Ctgf",1.15146790538918,1.16313549037015,1.01926957462249,1.40270758634587,1.3061644532849,2.99230579531652,3.03322392303181,2.99230579531652
"Csrp1",1.8665658519504,1.84734811642444,2.04827331184801,2.1009759221296,2.08390365664554,2.90000066197655,2.90000066197655,2.87868560543977
