Gene_name,Gene_description,Stromal vehicle replicate 1,Stromal vehicle replicate 2,Stromal vehicle replicate 3,Stromal estrogen replicate 1,Stromal estrogen replicate 2,Stromal estrogen replicate 3,Der_JY01M004_(MoGene-2_0-st).Dermis.rma-gene-full-Signal,Der_JY01M005_(MoGene-2_0-st).Dermis.rma-gene-full-Signal,Der_JY01M006_(MoGene-2_0-st).Dermis.rma-gene-full-Signal,WT_JY01M001_(MoGene-2_0-st).Dermis.rma-gene-full-Signal,WT_JY01M002_(MoGene-2_0-st).Dermis.rma-gene-full-Signal,WT_JY01M003_(MoGene-2_0-st).Dermis.rma-gene-full-Signal
Zzz3,"zinc finger, ZZ domain containing 3",0.040106723,0.022850564,0.050366344,0.06245912,0.492239675,0.678701857,10.02696,10.27644,10.03588,10.29974,10.26147,10.27917
Zzef1,"zinc finger, ZZ-type with EF hand domain 1",1.682736702,1.458660576,0.975408704,1.600929839,1.481235925,1.728604004,9.526095,9.196997,9.295369,9.296791,9.013254,9.235246
Zyx,zyxin,0.703758455,0.491210099,0.513615818,0.823215334,0.955584002,0.955960109,11.3906,11.58539,11.70831,11.12392,11.55662,11.27085
Zyg11b,zyg-ll homolog B (C. elegans),1.456131816,-0.756914457,-0.811344442,1.367425617,-0.176762619,0.938451288,10.12321,10.11026,10.07929,10.08198,10.03599,10.07986
Zyg11a,zyg-11 homolog A (C. elegans),0.286800642,0.313138321,0.283574169,0.222737997,0.098604492,0.259776896,4.482738,4.755594,4.513397,4.712313,4.696703,4.294696
Zxdc,ZXD family zinc finger C,2.772798401,3.368396959,3.109380856,3.736952801,3.193162326,3.706358704,10.3363,10.36156,10.31311,9.958364,9.994591,10.06568
Zxdb,"zinc finger, X-linked, duplicated B",0.563902213,0.351344125,0.936788962,0.628052658,0.072669879,0.28033585,8.246344,9.188771,8.688551,8.962428,9.117237,8.61545
Zxda,"zinc finger, X-linked, duplicated A",0.076560181,0.139484507,0.287230059,0.126312083,0.293841979,0.16811391,6.233452,7.037187,6.584142,6.876639,6.533311,6.466416
Zwint,ZW10 interactor,1.909037257,2.072805499,2.096588217,1.937973658,2.475603686,2.365349276,12.19588,11.92134,12.2735,11.78394,11.92379,12.08694
Zwilch,"Zwilch, kinetochore associated, homolog (Drosophila)",-1.943722336,-1.879880613,-2.254540711,-1.99285902,-2.754847709,-2.308886775,5.682187,5.576473,5.619505,5.646691,5.539721,5.341504
Zw10,"ZW10 homolog (Drosophila), centromere/kinetochore protein",1.271564662,1.865070383,1.57248879,2.082437801,1.53682191,1.910329098,9.31883,9.018361,9.0918,9.495576,9.00239,9.144351
Zufsp,zinc finger with UFM1-specific peptidase domain,1.453186893,1.605840511,1.294477811,1.346184058,1.313471484,1.677546365,8.143067,7.820964,7.928428,8.197158,7.867073,8.10237
Zswim7,"zinc finger, SWIM-type containing 7",-2.66202666,-1.198914078,-1.982388626,-1.83753214,-1.715372708,-2.311634397,8.206019,7.687078,7.887146,7.91831,7.578184,7.803892
Zswim6,"zinc finger, SWIM domain containing 6",2.708458748,3.110417296,2.803816647,3.945362307,3.952864654,2.960354151,10.90254,11.27452,11.05804,11.58032,11.6888,11.79839
Zswim5,"zinc finger, SWIM domain containing 5",-1.996633398,-1.095276217,-1.895501997,-1.726539533,-1.659119695,-1.885592018,6.738874,6.389493,6.641839,6.978975,6.544682,6.616781
Zswim4,"zinc finger, SWIM domain containing 4",2.466028683,2.526155158,2.370093521,3.17722083,2.792399535,3.238858017,9.874982,10.30973,9.971004,10.34267,10.78202,10.62952
Zswim3,"zinc finger, SWIM domain containing 3",-0.303731232,-0.774663698,-0.691317608,-1.117685006,-0.80735068,-1.514674991,7.054813,6.819677,7.143946,7.007108,6.896066,6.896272
Zswim2,"zinc finger, SWIM domain containing 2",-1.009579206,-1.251739595,-0.895242247,-1.655618083,-0.009121827,-0.859560008,4.837186,5.15365,5.270293,4.971337,5.212312,5.015038
Zswim1,"zinc finger, SWIM domain containing 1",0.646570874,0.971802051,0.415881752,1.525458828,1.188714535,0.733367243,8.564021,8.496611,8.721248,8.266863,8.072804,8.198674
