!Sample_title,Gene_name,Gene_description,Stromal vehicle replicate 1,Stromal vehicle replicate 2,Stromal vehicle replicate 3,Stromal estrogen replicate 1,Stromal estrogen replicate 2,Stromal estrogen replicate 3
A_55_P2042844,Nkx2-9,"NK2 transcription factor related, locus 9 (Drosophila)",0.527777215,0.71080657,0.630456952,0.990889715,0.496588257,7.009796373
A_52_P195640,AW551984,expressed sequence AW551984,4.750182876,5.275421613,4.735975835,5.851486878,7.389235805,6.972308302
A_51_P258721,Tpsg1,tryptase gamma 1,0.265495243,4.645744607,4.192489191,0,0.121745204,6.908844012
A_55_P1980511,Pcmtd1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1,4.839622371,5.594344361,4.12691449,5.146619606,6.160030182,6.815268906
A_55_P2028675,C87499,expressed sequence C87499,5.25E-05,0.216935288,0.048147122,0.596583113,0.584721284,6.559573546
A_55_P2041422,Il1rap,interleukin 1 receptor accessory protein,4.231096347,4.563765041,5.021603871,5.488296712,6.026290285,6.470506262
A_55_P2104299,Gm10703,predicted gene 10703,4.84973679,5.231238878,2.514331984,4.792120811,5.790063471,6.437454219
A_51_P459908,Olfr56,olfactory receptor 56,3.314353184,0,0,5.391679353,4.007731413,6.430784184
A_55_P2110076,C1qtnf6,C1q and tumor necrosis factor related protein 6,4.504584884,2.224703588,4.469859281,5.214527541,6.220184501,6.397409882
A_52_P89099,Nolc1,nucleolar and coiled-body phosphoprotein 1,4.055460989,4.14842031,3.444397516,4.243710693,4.823873552,6.380890507
A_52_P468564,Cyp2c38,"cytochrome P450, family 2, subfamily c, polypeptide 38",0,0,0.073205449,0.513072856,0.248842977,6.37300455
A_55_P2030135,Rbm39,RNA binding motif protein 39,4.310254555,4.946322105,3.547396207,4.998114699,6.372141323,6.331608207
A_55_P2111970,Ofcc1,orofacial cleft 1 candidate 1,5.371062043,5.086379656,3.505212185,5.693362425,6.159218401,6.229922768
A_52_P140005,Nipal1,NIPA-like domain containing 1,4.55650057,4.267234743,1.150007266,3.440472752,5.968644079,6.159514945
A_55_P2108993,Armcx6,"armadillo repeat containing, X-linked 6",4.755081393,4.400865739,4.266468633,5.064514168,5.656245988,6.147047327
